Operation, Load Factor, Time, Resize Count
insert,0,3600,0
insert,0,2800,0
insert,0,2500,0
insert,0,2300,0
insert,0,2400,0
insert,0,2300,0
insert,0,2300,0
insert,0,2400,0
insert,0,2600,0
insert,0,4600,0
insert,0,2300,0
insert,0,2200,0
insert,0,2200,0
insert,0,2100,0
insert,0,2100,0
insert,0,2200,0
insert,0,2200,0
insert,0,2100,0
insert,0,2300,0
insert,0,2100,0
insert,0,2200,0
insert,0,2200,0
insert,0,2900,0
insert,0,2300,0
insert,0,2100,0
insert,0,2100,0
insert,0,2100,0
insert,0,2100,0
insert,0,2200,0
insert,0,2100,0
insert,0,2100,0
insert,0,2200,0
insert,0,15100,0
insert,0,9200,0
insert,0,8000,0
insert,0,7200,0
insert,0,6800,0
insert,0,7400,0
insert,0,6700,0
insert,0,6900,0
insert,0,56600,0
insert,0,8300,0
insert,0,7700,0
insert,0,6400,0
insert,0,6700,0
insert,0,7000,0
insert,0,7000,0
insert,0,6800,0
insert,0,7200,0
insert,0,7100,0
insert,0,6500,0
insert,0,6500,0
insert,0,22800,0
insert,0,7500,0
insert,0,10100,0
insert,0,14400,0
insert,0,9800,0
insert,0,6700,0
insert,0,6100,0
insert,0,6100,0
insert,0,6100,0
insert,0,6700,0
insert,0,7200,0
insert,0,7500,0
insert,0,6700,0
insert,0,6800,0
insert,0,6400,0
insert,0,6700,0
insert,0,6700,0
insert,0,7100,0
insert,0,6600,0
insert,0,6700,0
insert,0,6800,0
insert,0,6800,0
insert,0,7200,0
insert,0,8300,0
insert,0,7000,0
insert,0,6700,0
insert,0,6700,0
insert,0,7400,0
insert,0,6600,0
insert,0,6800,0
insert,0,6700,0
insert,0,4600,0
insert,0,4300,0
insert,0,4500,0
insert,0,4300,0
insert,0,4400,0
insert,0,4200,0
insert,0,5100,0
insert,0,4500,0
insert,0,4600,0
insert,0,4300,0
insert,0,4600,0
insert,0,4600,0
insert,0,4700,0
insert,0,4500,0
insert,0,4400,0
insert,0,4600,0
insert,0,4700,0
insert,0,4600,0
insert,0,4600,0
insert,0,4600,0
insert,0,14600,0
insert,0,4500,0
insert,0,4500,0
insert,0,4400,0
insert,0,4600,0
insert,0,4800,0
insert,0,4600,0
insert,0,4400,0
insert,0,4400,0
insert,0,4300,0
insert,0,4600,0
insert,0,4500,0
insert,0,4500,0
insert,0,4800,0
insert,0,4400,0
insert,0,4700,0
insert,0,4300,0
insert,0,4700,0
insert,0,4500,0
insert,0,4700,0
