Operation, Load Factor, Time, Resize Count
insert,0,9000,0
insert,9.99101e-05,700,0
insert,0.00019982,700,0
insert,0.00029973,700,0
insert,0.00039964,600,0
insert,0.00049955,600,0
insert,0.00059946,800,0
insert,0.000699371,600,0
insert,0.000799281,600,0
insert,0.000899191,600,0
insert,0.000999101,600,0
insert,0.00109901,600,0
insert,0.00119892,600,0
insert,0.00129883,600,0
insert,0.00139874,600,0
insert,0.00149865,700,0
insert,0.00159856,600,0
insert,0.00169847,600,0
insert,0.00179838,700,0
insert,0.00189829,500,0
insert,0.0019982,500,0
insert,0.00209811,600,0
insert,0.00219802,1000,0
insert,0.00229793,600,0
insert,0.00239784,700,0
insert,0.00249775,600,0
insert,0.00259766,600,0
insert,0.00269757,500,0
insert,0.00279748,600,0
insert,0.00289739,800,0
insert,0.0029973,600,0
insert,0.00309721,700,0
insert,0.00319712,500,0
insert,0.00329703,600,0
insert,0.00339694,600,0
insert,0.00349685,600,0
insert,0.00359676,600,0
insert,0.00369667,600,0
insert,0.00379658,600,0
insert,0.00389649,600,0
insert,0.0039964,600,0
insert,0.00409631,500,0
insert,0.00419622,500,0
insert,0.00429613,500,0
insert,0.00439604,500,0
insert,0.00449595,500,0
insert,0.00459586,600,0
insert,0.00469577,500,0
insert,0.00479568,600,0
insert,0.00489559,600,0
insert,0.0049955,600,0
insert,0.00509541,600,0
insert,0.00519532,600,0
insert,0.00529523,500,0
insert,0.00539514,600,0
insert,0.00549505,800,0
insert,0.00559496,700,0
insert,0.00569487,600,0
insert,0.00579478,700,0
insert,0.00589469,700,0
insert,0.0059946,700,0
insert,0.00609451,500,0
insert,0.00619443,600,0
insert,0.00629434,500,0
insert,0.00639425,600,0
insert,0.00649416,500,0
insert,0.00659407,500,0
insert,0.00669398,600,0
insert,0.00679389,600,0
insert,0.0068938,600,0
insert,0.00699371,500,0
insert,0.00709362,600,0
insert,0.00719353,400,0
insert,0.00729344,500,0
insert,0.00739335,500,0
insert,0.00749326,400,0
insert,0.00759317,500,0
insert,0.00769308,500,0
insert,0.00779299,500,0
insert,0.0078929,500,0
insert,0.00799281,500,0
insert,0.00809272,500,0
insert,0.00819263,500,0
insert,0.00829254,600,0
insert,0.00839245,600,0
insert,0.00849236,600,0
insert,0.00859227,600,0
insert,0.00869218,500,0
insert,0.00879209,600,0
insert,0.008892,600,0
insert,0.00899191,400,0
insert,0.00909182,600,0
insert,0.00919173,500,0
insert,0.00929164,500,0
insert,0.00939155,500,0
insert,0.00949146,600,0
insert,0.00959137,500,0
insert,0.00969128,600,0
insert,0.00979119,500,0
insert,0.0098911,600,0
insert,0.00999101,600,0
insert,0.0100909,500,0
insert,0.0101908,500,0
insert,0.0102907,500,0
insert,0.0103906,900,0
insert,0.0104906,600,0
insert,0.0105905,800,0
insert,0.0106904,500,0
insert,0.0107903,600,0
insert,0.0108902,600,0
insert,0.0109901,500,0
insert,0.01109,600,0
insert,0.0111899,600,0
insert,0.0112898,500,0
insert,0.0113897,500,0
insert,0.0114897,600,0
insert,0.0115896,500,0
insert,0.0116895,500,0
insert,0.0117894,600,0
insert,0.0118893,500,0
insert,0.0119892,600,0
insert,0.0120891,600,0
insert,0.012189,500,0
insert,0.0122889,500,0
insert,0.0123889,500,0
insert,0.0124888,500,0
insert,0.0125887,500,0
insert,0.0126886,800,0
insert,0.0127885,600,0
insert,0.0128884,600,0
insert,0.0129883,500,0
insert,0.0130882,600,0
insert,0.0131881,900,0
insert,0.013288,800,0
insert,0.013388,600,0
insert,0.0134879,600,0
insert,0.0135878,500,0
insert,0.0136877,600,0
insert,0.0137876,600,0
insert,0.0138875,500,0
insert,0.0139874,500,0
insert,0.0140873,500,0
insert,0.0141872,500,0
insert,0.0142871,500,0
insert,0.0143871,500,0
insert,0.014487,600,0
insert,0.0145869,600,0
insert,0.0146868,500,0
insert,0.0147867,600,0
insert,0.0148866,600,0
insert,0.0149865,500,0
insert,0.0150864,500,0
insert,0.0151863,600,0
insert,0.0152862,600,0
insert,0.0153862,500,0
insert,0.0154861,600,0
insert,0.015586,600,0
insert,0.0156859,500,0
insert,0.0157858,500,0
insert,0.0158857,600,0
insert,0.0159856,500,0
insert,0.0160855,600,0
insert,0.0161854,500,0
insert,0.0162853,600,0
insert,0.0163853,600,0
insert,0.0164852,600,0
insert,0.0165851,800,0
insert,0.016685,600,0
insert,0.0167849,600,0
insert,0.0168848,500,0
insert,0.0169847,600,0
insert,0.0170846,500,0
insert,0.0171845,700,0
insert,0.0172844,600,0
insert,0.0173844,500,0
insert,0.0174843,600,0
insert,0.0175842,600,0
insert,0.0176841,600,0
insert,0.017784,600,0
insert,0.0178839,500,0
insert,0.0179838,500,0
insert,0.0180837,500,0
insert,0.0181836,600,0
insert,0.0182835,500,0
insert,0.0183835,500,0
insert,0.0184834,600,0
insert,0.0185833,600,0
insert,0.0186832,700,0
insert,0.0187831,500,0
insert,0.018883,500,0
insert,0.0189829,600,0
insert,0.0190828,500,0
insert,0.0191827,600,0
insert,0.0192826,500,0
insert,0.0193826,500,0
insert,0.0194825,500,0
insert,0.0195824,600,0
insert,0.0196823,700,0
insert,0.0197822,500,0
insert,0.0198821,900,0
insert,0.019982,600,0
insert,0.0200819,500,0
insert,0.0201818,400,0
insert,0.0202817,600,0
insert,0.0203817,400,0
insert,0.0204816,600,0
insert,0.0205815,600,0
insert,0.0206814,600,0
insert,0.0207813,500,0
insert,0.0208812,500,0
insert,0.0209811,600,0
insert,0.021081,600,0
insert,0.0211809,500,0
insert,0.0212808,500,0
insert,0.0213808,600,0
insert,0.0214807,400,0
insert,0.0215806,500,0
insert,0.0216805,500,0
insert,0.0217804,600,0
insert,0.0218803,500,0
insert,0.0219802,600,0
insert,0.0220801,500,0
insert,0.02218,500,0
insert,0.0222799,500,0
insert,0.0223799,500,0
insert,0.0224798,500,0
insert,0.0225797,400,0
insert,0.0226796,600,0
insert,0.0227795,500,0
insert,0.0228794,500,0
insert,0.0229793,600,0
insert,0.0230792,500,0
insert,0.0231791,500,0
insert,0.023279,500,0
insert,0.023379,600,0
insert,0.0234789,500,0
insert,0.0235788,400,0
insert,0.0236787,600,0
insert,0.0237786,500,0
insert,0.0238785,600,0
insert,0.0239784,600,0
insert,0.0240783,500,0
insert,0.0241782,600,0
insert,0.0242781,600,0
insert,0.0243781,500,0
insert,0.024478,700,0
insert,0.0245779,600,0
insert,0.0246778,500,0
insert,0.0247777,500,0
insert,0.0248776,700,0
insert,0.0249775,900,0
insert,0.0250774,500,0
insert,0.0251773,400,0
insert,0.0252773,500,0
insert,0.0253772,400,0
insert,0.0254771,500,0
insert,0.025577,600,0
insert,0.0256769,500,0
insert,0.0257768,600,0
insert,0.0258767,600,0
insert,0.0259766,600,0
insert,0.0260765,500,0
insert,0.0261764,500,0
insert,0.0262764,600,0
insert,0.0263763,500,0
insert,0.0264762,500,0
insert,0.0265761,600,0
insert,0.026676,400,0
insert,0.0267759,600,0
insert,0.0268758,500,0
insert,0.0269757,500,0
insert,0.0270756,500,0
insert,0.0271755,500,0
insert,0.0272755,800,0
insert,0.0273754,500,0
insert,0.0274753,500,0
insert,0.0275752,500,0
insert,0.0276751,800,0
insert,0.027775,600,0
insert,0.0278749,600,0
insert,0.0279748,600,0
insert,0.0280747,600,0
insert,0.0281746,400,0
insert,0.0282746,500,0
insert,0.0283745,600,0
insert,0.0284744,600,0
insert,0.0285743,500,0
insert,0.0286742,600,0
insert,0.0287741,500,0
insert,0.028874,500,0
insert,0.0289739,500,0
insert,0.0290738,600,0
insert,0.0291737,500,0
insert,0.0292737,500,0
insert,0.0293736,600,0
insert,0.0294735,800,0
insert,0.0295734,900,0
insert,0.0296733,500,0
insert,0.0297732,400,0
insert,0.0298731,600,0
insert,0.029973,600,0
insert,0.0300729,500,0
insert,0.0301728,500,0
insert,0.0302728,400,0
insert,0.0303727,600,0
insert,0.0304726,500,0
insert,0.0305725,500,0
insert,0.0306724,500,0
insert,0.0307723,600,0
insert,0.0308722,500,0
insert,0.0309721,500,0
insert,0.031072,600,0
insert,0.0311719,600,0
insert,0.0312719,800,0
insert,0.0313718,600,0
insert,0.0314717,500,0
insert,0.0315716,500,0
insert,0.0316715,500,0
insert,0.0317714,700,0
insert,0.0318713,500,0
insert,0.0319712,500,0
insert,0.0320711,500,0
insert,0.032171,500,0
insert,0.032271,500,0
insert,0.0323709,700,0
insert,0.0324708,600,0
insert,0.0325707,600,0
insert,0.0326706,500,0
insert,0.0327705,600,0
insert,0.0328704,500,0
insert,0.0329703,500,0
insert,0.0330702,500,0
insert,0.0331701,500,0
insert,0.0332701,500,0
insert,0.03337,600,0
insert,0.0334699,500,0
insert,0.0335698,400,0
insert,0.0336697,700,0
insert,0.0337696,500,0
insert,0.0338695,500,0
insert,0.0339694,500,0
insert,0.0340693,500,0
insert,0.0341692,500,0
insert,0.0342692,600,0
insert,0.0343691,600,0
insert,0.034469,400,0
insert,0.0345689,500,0
insert,0.0346688,700,0
insert,0.0347687,500,0
insert,0.0348686,600,0
insert,0.0349685,700,0
insert,0.0350684,500,0
insert,0.0351683,500,0
insert,0.0352683,800,0
insert,0.0353682,600,0
insert,0.0354681,600,0
insert,0.035568,500,0
insert,0.0356679,500,0
insert,0.0357678,600,0
insert,0.0358677,500,0
insert,0.0359676,600,0
insert,0.0360675,600,0
insert,0.0361674,600,0
insert,0.0362674,700,0
insert,0.0363673,500,0
insert,0.0364672,600,0
insert,0.0365671,500,0
insert,0.036667,500,0
insert,0.0367669,800,0
insert,0.0368668,600,0
insert,0.0369667,500,0
insert,0.0370666,600,0
insert,0.0371666,500,0
insert,0.0372665,500,0
insert,0.0373664,400,0
insert,0.0374663,500,0
insert,0.0375662,500,0
insert,0.0376661,500,0
insert,0.037766,500,0
insert,0.0378659,600,0
insert,0.0379658,600,0
insert,0.0380657,700,0
insert,0.0381657,500,0
insert,0.0382656,600,0
insert,0.0383655,500,0
insert,0.0384654,600,0
insert,0.0385653,600,0
insert,0.0386652,500,0
insert,0.0387651,500,0
insert,0.038865,700,0
insert,0.0389649,600,0
insert,0.0390648,600,0
insert,0.0391648,500,0
insert,0.0392647,500,0
insert,0.0393646,600,0
insert,0.0394645,500,0
insert,0.0395644,700,0
insert,0.0396643,600,0
insert,0.0397642,500,0
insert,0.0398641,500,0
insert,0.039964,500,0
insert,0.0400639,600,0
insert,0.0401639,500,0
insert,0.0402638,500,0
insert,0.0403637,600,0
insert,0.0404636,500,0
insert,0.0405635,600,0
insert,0.0406634,600,0
insert,0.0407633,500,0
insert,0.0408632,500,0
insert,0.0409631,500,0
insert,0.041063,500,0
insert,0.041163,500,0
insert,0.0412629,500,0
insert,0.0413628,600,0
insert,0.0414627,500,0
insert,0.0415626,500,0
insert,0.0416625,500,0
insert,0.0417624,600,0
insert,0.0418623,500,0
insert,0.0419622,600,0
insert,0.0420621,500,0
insert,0.0421621,500,0
insert,0.042262,500,0
insert,0.0423619,400,0
insert,0.0424618,600,0
insert,0.0425617,500,0
insert,0.0426616,600,0
insert,0.0427615,500,0
insert,0.0428614,500,0
insert,0.0429613,500,0
insert,0.0430612,600,0
insert,0.0431612,500,0
insert,0.0432611,500,0
insert,0.043361,500,0
insert,0.0434609,500,0
insert,0.0435608,500,0
insert,0.0436607,500,0
insert,0.0437606,500,0
insert,0.0438605,600,0
insert,0.0439604,500,0
insert,0.0440603,900,0
insert,0.0441603,600,0
insert,0.0442602,500,0
insert,0.0443601,400,0
insert,0.04446,600,0
insert,0.0445599,500,0
insert,0.0446598,600,0
insert,0.0447597,500,0
insert,0.0448596,500,0
insert,0.0449595,1700,0
insert,0.0450594,600,0
insert,0.0451594,600,0
insert,0.0452593,500,0
insert,0.0453592,600,0
insert,0.0454591,600,0
insert,0.045559,500,0
insert,0.0456589,600,0
insert,0.0457588,500,0
insert,0.0458587,700,0
insert,0.0459586,600,0
insert,0.0460585,500,0
insert,0.0461585,800,0
insert,0.0462584,600,0
insert,0.0463583,600,0
insert,0.0464582,400,0
insert,0.0465581,500,0
insert,0.046658,600,0
insert,0.0467579,500,0
insert,0.0468578,500,0
insert,0.0469577,600,0
insert,0.0470576,600,0
insert,0.0471576,500,0
insert,0.0472575,400,0
insert,0.0473574,600,0
insert,0.0474573,600,0
insert,0.0475572,500,0
insert,0.0476571,600,0
insert,0.047757,500,0
insert,0.0478569,400,0
insert,0.0479568,500,0
insert,0.0480567,500,0
insert,0.0481567,500,0
insert,0.0482566,600,0
insert,0.0483565,500,0
insert,0.0484564,400,0
insert,0.0485563,500,0
insert,0.0486562,400,0
insert,0.0487561,600,0
insert,0.048856,600,0
insert,0.0489559,500,0
insert,0.0490558,500,0
insert,0.0491558,500,0
insert,0.0492557,500,0
insert,0.0493556,500,0
insert,0.0494555,600,0
insert,0.0495554,400,0
insert,0.0496553,400,0
insert,0.0497552,600,0
insert,0.0498551,600,0
insert,0.049955,500,0
insert,0.050055,500,0
insert,0.0501549,600,0
insert,0.0502548,600,0
insert,0.0503547,500,0
insert,0.0504546,500,0
insert,0.0505545,500,0
insert,0.0506544,500,0
insert,0.0507543,500,0
insert,0.0508542,500,0
insert,0.0509541,600,0
insert,0.0510541,600,0
insert,0.051154,600,0
insert,0.0512539,600,0
insert,0.0513538,500,0
insert,0.0514537,500,0
insert,0.0515536,600,0
insert,0.0516535,600,0
insert,0.0517534,500,0
insert,0.0518533,400,0
insert,0.0519532,600,0
insert,0.0520532,600,0
insert,0.0521531,600,0
insert,0.052253,500,0
insert,0.0523529,500,0
insert,0.0524528,600,0
insert,0.0525527,500,0
insert,0.0526526,500,0
insert,0.0527525,600,0
insert,0.0528524,500,0
insert,0.0529523,500,0
insert,0.0530523,700,0
insert,0.0531522,600,0
insert,0.0532521,700,0
insert,0.053352,700,0
insert,0.0534519,600,0
insert,0.0535518,900,0
insert,0.0536517,600,0
insert,0.0537516,600,0
insert,0.0538515,500,0
insert,0.0539514,500,0
insert,0.0540514,500,0
insert,0.0541513,600,0
insert,0.0542512,800,0
insert,0.0543511,600,0
insert,0.054451,500,0
insert,0.0545509,600,0
insert,0.0546508,600,0
insert,0.0547507,500,0
insert,0.0548506,500,0
insert,0.0549505,600,0
insert,0.0550505,600,0
insert,0.0551504,600,0
insert,0.0552503,700,0
insert,0.0553502,600,0
insert,0.0554501,600,0
insert,0.05555,500,0
insert,0.0556499,900,0
insert,0.0557498,600,0
insert,0.0558497,500,0
insert,0.0559496,600,0
insert,0.0560496,600,0
insert,0.0561495,700,0
insert,0.0562494,500,0
insert,0.0563493,500,0
insert,0.0564492,600,0
insert,0.0565491,600,0
insert,0.056649,700,0
insert,0.0567489,600,0
insert,0.0568488,500,0
insert,0.0569487,500,0
insert,0.0570487,600,0
insert,0.0571486,500,0
insert,0.0572485,600,0
insert,0.0573484,600,0
insert,0.0574483,600,0
insert,0.0575482,600,0
insert,0.0576481,500,0
