Operation, Load Factor, Time, Resize Count
insert,0,1400,0
insert,9.99101e-05,1000,0
insert,0.00019982,1000,0
insert,0.00029973,800,0
insert,0.00039964,800,0
insert,0.00049955,800,0
insert,0.00059946,800,0
insert,0.000699371,900,0
insert,0.000799281,800,0
insert,0.000899191,800,0
insert,0.000999101,800,0
insert,0.00109901,800,0
insert,0.00119892,800,0
insert,0.00129883,800,0
insert,0.00139874,800,0
insert,0.00149865,900,0
insert,0.00159856,900,0
insert,0.00169847,800,0
insert,0.00179838,900,0
insert,0.00189829,800,0
insert,0.0019982,800,0
insert,0.00209811,900,0
insert,0.00219802,900,0
insert,0.00229793,4300,0
insert,0.00239784,800,0
insert,0.00249775,700,0
insert,0.00259766,700,0
insert,0.00269757,700,0
insert,0.00279748,700,0
insert,0.00289739,900,0
insert,0.0029973,700,0
insert,0.00309721,600,0
insert,0.00319712,600,0
insert,0.00329703,700,0
insert,0.00339694,700,0
insert,0.00349685,700,0
insert,0.00359676,600,0
insert,0.00369667,700,0
insert,0.00379658,600,0
insert,0.00389649,600,0
insert,0.0039964,600,0
insert,0.00409631,600,0
insert,0.00419622,600,0
insert,0.00429613,700,0
insert,0.00439604,700,0
insert,0.00449595,700,0
insert,0.00459586,600,0
insert,0.00469577,500,0
insert,0.00479568,600,0
insert,0.00489559,600,0
insert,0.0049955,700,0
insert,0.00509541,600,0
insert,0.00519532,700,0
insert,0.00529523,700,0
insert,0.00539514,700,0
insert,0.00549505,600,0
insert,0.00559496,700,0
insert,0.00569487,700,0
insert,0.00579478,600,0
insert,0.00589469,600,0
insert,0.0059946,600,0
insert,0.00609451,700,0
insert,0.00619443,600,0
insert,0.00629434,600,0
insert,0.00639425,700,0
insert,0.00649416,600,0
insert,0.00659407,700,0
insert,0.00669398,700,0
insert,0.00679389,600,0
insert,0.0068938,600,0
insert,0.00699371,600,0
insert,0.00709362,700,0
insert,0.00719353,700,0
insert,0.00729344,600,0
insert,0.00739335,700,0
insert,0.00749326,600,0
insert,0.00759317,700,0
insert,0.00769308,600,0
insert,0.00779299,600,0
insert,0.0078929,700,0
insert,0.00799281,800,0
insert,0.00809272,600,0
insert,0.00819263,700,0
insert,0.00829254,700,0
insert,0.00839245,700,0
insert,0.00849236,600,0
insert,0.00859227,700,0
insert,0.00869218,600,0
insert,0.00879209,600,0
insert,0.008892,600,0
insert,0.00899191,600,0
insert,0.00909182,700,0
insert,0.00919173,600,0
insert,0.00929164,700,0
insert,0.00939155,600,0
insert,0.00949146,600,0
insert,0.00959137,700,0
insert,0.00969128,700,0
insert,0.00979119,700,0
insert,0.0098911,700,0
insert,0.00999101,700,0
insert,0.0100909,600,0
insert,0.0101908,700,0
insert,0.0102907,600,0
insert,0.0103906,600,0
insert,0.0104906,700,0
insert,0.0105905,900,0
insert,0.0106904,700,0
insert,0.0107903,1000,0
insert,0.0108902,700,0
insert,0.0109901,700,0
insert,0.01109,600,0
insert,0.0111899,600,0
insert,0.0112898,600,0
insert,0.0113897,600,0
insert,0.0114897,600,0
insert,0.0115896,600,0
insert,0.0116895,700,0
insert,0.0117894,600,0
insert,0.0118893,700,0
insert,0.0119892,600,0
insert,0.0120891,700,0
insert,0.012189,600,0
insert,0.0122889,600,0
insert,0.0123889,700,0
insert,0.0124888,600,0
insert,0.0125887,600,0
insert,0.0126886,600,0
insert,0.0127885,600,0
insert,0.0128884,700,0
insert,0.0129883,600,0
insert,0.0130882,500,0
insert,0.0131881,600,0
insert,0.013288,600,0
insert,0.013388,600,0
insert,0.0134879,600,0
insert,0.0135878,600,0
insert,0.0136877,600,0
insert,0.0137876,600,0
insert,0.0138875,700,0
insert,0.0139874,600,0
insert,0.0140873,600,0
insert,0.0141872,800,0
insert,0.0142871,600,0
insert,0.0143871,600,0
insert,0.014487,600,0
insert,0.0145869,800,0
insert,0.0146868,700,0
insert,0.0147867,700,0
insert,0.0148866,800,0
insert,0.0149865,700,0
insert,0.0150864,500,0
insert,0.0151863,700,0
insert,0.0152862,700,0
insert,0.0153862,600,0
insert,0.0154861,600,0
insert,0.015586,600,0
insert,0.0156859,700,0
insert,0.0157858,600,0
insert,0.0158857,700,0
insert,0.0159856,600,0
insert,0.0160855,600,0
insert,0.0161854,600,0
insert,0.0162853,600,0
insert,0.0163853,700,0
insert,0.0164852,700,0
insert,0.0165851,1100,0
insert,0.016685,700,0
insert,0.0167849,600,0
insert,0.0168848,600,0
insert,0.0169847,700,0
insert,0.0170846,600,0
insert,0.0171845,600,0
insert,0.0172844,600,0
insert,0.0173844,600,0
insert,0.0174843,700,0
insert,0.0175842,700,0
insert,0.0176841,900,0
insert,0.017784,700,0
insert,0.0178839,700,0
insert,0.0179838,600,0
insert,0.0180837,600,0
insert,0.0181836,1100,0
insert,0.0182835,700,0
insert,0.0183835,600,0
insert,0.0184834,700,0
insert,0.0185833,600,0
insert,0.0186832,700,0
insert,0.0187831,600,0
insert,0.018883,700,0
insert,0.0189829,700,0
insert,0.0190828,700,0
insert,0.0191827,700,0
insert,0.0192826,600,0
insert,0.0193826,600,0
insert,0.0194825,600,0
insert,0.0195824,600,0
insert,0.0196823,600,0
insert,0.0197822,2100,0
insert,0.0198821,600,0
insert,0.019982,700,0
insert,0.0200819,600,0
insert,0.0201818,600,0
insert,0.0202817,700,0
insert,0.0203817,700,0
insert,0.0204816,500,0
insert,0.0205815,500,0
insert,0.0206814,600,0
insert,0.0207813,600,0
insert,0.0208812,500,0
