operation,load_factor,time,resize_count
insert,0,2426,0
insert,0,881,0
insert,0,1446,0
insert,0,504,0
insert,0,516,0
insert,0,514,0
insert,0,477,0
insert,0,545,0
insert,0,444,0
insert,0,565,0
insert,0,593,0
insert,0,516,0
insert,0,467,0
insert,0,533,0
insert,0,714,0
insert,0,533,0
insert,0,615,0
insert,0,541,0
insert,0,617,0
insert,0,535,0
insert,0,636,0
insert,0,626,0
insert,0,511,0
insert,0,542,0
insert,0,503,0
insert,0,579,0
insert,0,550,0
insert,0,588,0
insert,0,609,0
insert,0,577,0
insert,0,565,0
insert,0,538,0
insert,0,447,0
insert,0,602,0
insert,0,564,0
insert,0,670,0
insert,0,485,0
insert,0,570,0
insert,0,645,0
insert,0,584,0
insert,0,529,0
insert,0,598,0
insert,0,618,0
insert,0,514,0
insert,0,638,0
insert,0,630,0
insert,0,606,0
insert,0,548,0
insert,0,626,0
insert,0,648,0
insert,0,568,0
insert,0,460,0
insert,0,601,0
insert,0,534,0
insert,0,666,0
insert,0,536,0
insert,0,588,0
insert,0,568,0
insert,0,558,0
insert,0,489,0
insert,0,487,0
insert,0,699,0
insert,0,654,0
insert,0,594,0
insert,0,691,0
insert,0,690,0
insert,0,525,0
insert,0,560,0
insert,0,619,0
insert,0,649,0
insert,0,567,0
insert,0,528,0
insert,0,613,0
insert,0,561,0
insert,0,631,0
insert,0,630,0
insert,0,502,0
insert,0,710,0
insert,0,619,0
insert,0,605,0
insert,0,569,0
insert,0,585,0
insert,0,580,0
insert,0,620,0
insert,0,579,0
insert,0,603,0
insert,0,457,0
insert,0,505,0
insert,0,553,0
insert,0,660,0
insert,0,742,0
insert,0,598,0
insert,0,512,0
insert,0,611,0
insert,0,611,0
insert,0,571,0
insert,0,600,0
insert,0,609,0
insert,0,610,0
insert,0,719,0
insert,0,659,0
insert,0,704,0
insert,0,684,0
insert,0,590,0
insert,0,615,0
insert,0,652,0
insert,0,622,0
insert,0,583,0
insert,0,614,0
insert,0,644,0
insert,0,584,0
insert,0,5021,0
insert,0,551,0
insert,0,624,0
insert,0,589,0
insert,0,617,0
insert,0,700,0
insert,0,569,0
insert,0,557,0
insert,0,718,0
insert,0,634,0
insert,0,554,0
insert,0,586,0
insert,0,527,0
insert,0,556,0
insert,0,674,0
insert,0,612,0
insert,0,590,0
insert,0,632,0
insert,0,619,0
insert,0,553,0
insert,0,630,0
insert,0,639,0
insert,0,581,0
insert,0,635,0
insert,0,667,0
insert,0,695,0
insert,0,611,0
insert,0,665,0
insert,0,639,0
insert,0,618,0
insert,0,577,0
insert,0,590,0
insert,0,625,0
insert,0,692,0
insert,0,601,0
insert,0,601,0
insert,0,663,0
insert,0,629,0
insert,0,578,0
insert,0,572,0
insert,0,684,0
insert,0,1061,0
insert,0,518,0
insert,0,554,0
insert,0,582,0
insert,0,588,0
insert,0,653,0
insert,0,607,0
insert,0,632,0
insert,0,588,0
insert,0,652,0
insert,0,580,0
insert,0,650,0
insert,0,713,0
insert,0,677,0
insert,0,551,0
insert,0,655,0
insert,0,683,0
insert,0,622,0
insert,0,12380,0
insert,0,764,0
insert,0,743,0
insert,0,690,0
insert,0,624,0
insert,0,609,0
insert,0,633,0
insert,0,792,0
insert,0,672,0
insert,0,693,0
insert,0,586,0
insert,0,573,0
insert,0,697,0
insert,0,582,0
insert,0,587,0
insert,0,563,0
insert,0,593,0
insert,0,559,0
insert,0,864,0
insert,0,851,0
insert,0,692,0
insert,0,672,0
insert,0,675,0
insert,0,759,0
insert,0,695,0
insert,0,773,0
insert,0,617,0
insert,0,792,0
insert,0,535,0
insert,0,645,0
insert,0,617,0
insert,0,639,0
insert,0,724,0
insert,0,704,0
insert,0,674,0
insert,0,707,0
insert,0,552,0
insert,0,569,0
insert,0,590,0
insert,0,879,0
insert,0,665,0
insert,0,686,0
insert,0,720,0
insert,0,738,0
insert,0,672,0
insert,0,616,0
insert,0,663,0
insert,0,589,0
insert,0,670,0
insert,0,585,0
insert,0,655,0
insert,0,598,0
insert,0,575,0
insert,0,562,0
insert,0,600,0
insert,0,537,0
insert,0,686,0
insert,0,616,0
insert,0,590,0
insert,0,624,0
insert,0,747,0
insert,0,651,0
insert,0,582,0
insert,0,576,0
insert,0,621,0
insert,0,650,0
insert,0,651,0
insert,0,718,0
insert,0,638,0
insert,0,741,0
insert,0,578,0
insert,0,560,0
insert,0,698,0
insert,0,609,0
insert,0,559,0
insert,0,582,0
insert,0,647,0
insert,0,639,0
insert,0,585,0
insert,0,725,0
insert,0,605,0
insert,0,682,0
insert,0,783,0
insert,0,646,0
insert,0,567,0
insert,0,609,0
insert,0,648,0
insert,0,585,0
insert,0,574,0
insert,0,726,0
insert,0,602,0
insert,0,605,0
insert,0,663,0
insert,0,601,0
insert,0,658,0
insert,0,720,0
insert,0,621,0
insert,0,559,0
insert,0,614,0
insert,0,631,0
insert,0,603,0
insert,0,710,0
insert,0,616,0
insert,0,650,0
insert,0,611,0
insert,0,813,0
insert,0,593,0
insert,0,703,0
insert,0,624,0
insert,0,583,0
insert,0,680,0
insert,0,643,0
insert,0,678,0
insert,0,745,0
insert,0,637,0
insert,0,633,0
insert,0,568,0
insert,0,586,0
insert,0,648,0
insert,0,715,0
insert,0,671,0
insert,0,639,0
insert,0,640,0
insert,0,652,0
insert,0,616,0
insert,0,653,0
insert,0,707,0
insert,0,643,0
insert,0,684,0
insert,0,841,0
insert,0,579,0
insert,0,663,0
insert,0,623,0
insert,0,641,0
insert,0,757,0
insert,0,660,0
insert,0,584,0
insert,0,652,0
insert,0,655,0
insert,0,654,0
insert,0,606,0
insert,0,586,0
insert,0,657,0
insert,0,680,0
insert,0,604,0
insert,0,489,0
insert,0,653,0
insert,0,631,0
insert,0,660,0
insert,0,761,0
insert,0,545,0
insert,0,656,0
insert,0,593,0
insert,0,622,0
insert,0,847,0
insert,0,647,0
insert,0,621,0
insert,0,666,0
insert,0,635,0
insert,0,612,0
insert,0,648,0
insert,0,709,0
insert,0,617,0
insert,0,633,0
insert,0,621,0
insert,0,583,0
insert,0,614,0
insert,0,664,0
insert,0,723,0
insert,0,709,0
insert,0,10057,0
insert,0,688,0
insert,0,623,0
insert,0,634,0
insert,0,712,0
insert,0,700,0
insert,0,661,0
insert,0,645,0
insert,0,695,0
insert,0,788,0
insert,0,722,0
insert,0,626,0
insert,0,699,0
insert,0,636,0
insert,0,530,0
insert,0,608,0
insert,0,659,0
insert,0,636,0
insert,0,563,0
insert,0,576,0
insert,0,545,0
insert,0,607,0
insert,0,611,0
insert,0,583,0
insert,0,671,0
insert,0,614,0
insert,0,640,0
insert,0,727,0
insert,0,625,0
insert,0,569,0
insert,0,618,0
insert,0,579,0
insert,0,657,0
insert,0,619,0
insert,0,654,0
insert,0,668,0
insert,0,573,0
insert,0,611,0
insert,0,599,0
insert,0,577,0
insert,0,570,0
insert,0,598,0
insert,0,728,0
insert,0,636,0
insert,0,562,0
insert,0,679,0
insert,0,571,0
insert,0,592,0
insert,0,605,0
insert,0,612,0
insert,0,575,0
insert,0,647,0
insert,0,567,0
insert,0,622,0
insert,0,574,0
insert,0,807,0
insert,0,578,0
insert,0,536,0
insert,0,617,0
insert,0,554,0
insert,0,658,0
insert,0,602,0
insert,0,649,0
insert,0,554,0
insert,0,611,0
insert,0,654,0
insert,0,629,0
insert,0,602,0
insert,0,752,0
insert,0,758,0
insert,0,600,0
insert,0,606,0
insert,0,622,0
insert,0,601,0
insert,0,598,0
insert,0,855,0
insert,0,582,0
insert,0,625,0
insert,0,635,0
insert,0,600,0
insert,0,676,0
insert,0,595,0
insert,0,662,0
insert,0,653,0
insert,0,829,0
insert,0,674,0
insert,0,597,0
insert,0,592,0
insert,0,579,0
insert,0,659,0
insert,0,574,0
insert,0,584,0
insert,0,619,0
insert,0,611,0
insert,0,658,0
insert,0,616,0
insert,0,585,0
insert,0,683,0
insert,0,676,0
insert,0,644,0
insert,0,640,0
insert,0,594,0
insert,0,644,0
insert,0,544,0
insert,0,561,0
insert,0,651,0
insert,0,670,0
insert,0,587,0
insert,0,643,0
insert,0,657,0
insert,0,639,0
insert,0,553,0
insert,0,602,0
insert,0,673,0
insert,0,768,0
insert,0,595,0
insert,0,675,0
insert,0,718,0
insert,0,570,0
insert,0,592,0
insert,0,629,0
insert,0,649,0
insert,0,582,0
insert,0,658,0
insert,0,650,0
insert,0,519,0
insert,0,674,0
insert,0,554,0
insert,0,543,0
insert,0,664,0
