operation,load_factor,time,resize_count
insert,0,593,0
insert,0,1341,0
insert,0,71,0
insert,0,53,0
insert,0,214,0
insert,0,63,0
insert,0,52,0
insert,0,52,0
insert,0,129,0
insert,0,70,0
insert,0,54,0
insert,0,53,0
insert,0,55,0
insert,0,122,0
insert,0,55,0
insert,0,53,0
insert,0,52,0
insert,0,52,0
insert,0,55,0
insert,0,122,0
insert,0,53,0
insert,0,52,0
insert,0,51,0
insert,0,53,0
insert,0,52,0
insert,0,72,0
insert,0,110,0
insert,0,49,0
insert,0,52,0
insert,0,50,0
insert,0,53,0
insert,0,50,0
insert,0,51,0
insert,0,52,0
insert,0,110,0
insert,0,51,0
insert,0,49,0
insert,0,52,0
insert,0,53,0
insert,0,51,0
insert,0,50,0
insert,0,50,0
insert,0,50,0
insert,0,112,0
insert,0,53,0
insert,0,52,0
insert,0,52,0
insert,0,50,0
insert,0,49,0
insert,0,53,0
insert,0,50,0
insert,0,51,0
insert,0,50,0
insert,0,113,0
insert,0,50,0
insert,0,49,0
insert,0,51,0
insert,0,50,0
insert,0,51,0
insert,0,50,0
insert,0,51,0
insert,0,50,0
insert,0,72,0
insert,0,51,0
insert,0,116,0
insert,0,51,0
insert,0,50,0
insert,0,53,0
insert,0,51,0
insert,0,50,0
insert,0,54,0
insert,0,51,0
insert,0,50,0
insert,0,50,0
insert,0,63,0
insert,0,51,0
insert,0,115,0
insert,0,50,0
insert,0,50,0
insert,0,50,0
insert,0,53,0
insert,0,51,0
insert,0,50,0
insert,0,59,0
insert,0,50,0
insert,0,52,0
insert,0,53,0
insert,0,55,0
insert,0,52,0
insert,0,128,0
insert,0,50,0
insert,0,53,0
insert,0,52,0
insert,0,50,0
insert,0,70,0
insert,0,50,0
insert,0,51,0
insert,0,52,0
insert,0,51,0
insert,0,52,0
insert,0,51,0
insert,0,69,0
insert,0,53,0
insert,0,120,0
insert,0,52,0
insert,0,50,0
insert,0,51,0
insert,0,50,0
insert,0,53,0
insert,0,52,0
insert,0,51,0
insert,0,72,0
insert,0,51,0
insert,0,50,0
insert,0,49,0
insert,0,50,0
insert,0,49,0
insert,0,70,0
insert,0,120,0
insert,0,51,0
insert,0,50,0
insert,0,50,0
insert,0,51,0
insert,0,50,0
insert,0,53,0
insert,0,54,0
insert,0,49,0
insert,0,53,0
insert,0,55,0
insert,0,53,0
insert,0,52,0
insert,0,50,0
insert,0,52,0
insert,0,51,0
insert,0,127,0
insert,0,53,0
insert,0,53,0
insert,0,54,0
insert,0,52,0
insert,0,52,0
insert,0,50,0
insert,0,51,0
insert,0,51,0
insert,0,51,0
insert,0,49,0
insert,0,50,0
insert,0,53,0
insert,0,51,0
insert,0,52,0
insert,0,49,0
insert,0,53,0
insert,0,128,0
insert,0,51,0
insert,0,50,0
insert,0,52,0
insert,0,52,0
insert,0,55,0
insert,0,51,0
insert,0,53,0
insert,0,50,0
insert,0,51,0
