operation,load_factor,time,resize_count
insert,0,901,1
insert,1,433,2
insert,1,348,3
insert,0.75,82,3
insert,1,432,4
insert,0.625,65,4
insert,0.75,72,4
insert,0.875,51,4
insert,1,17810,5
insert,0.5625,56,5
insert,0.625,51,5
insert,0.6875,54,5
insert,0.75,51,5
insert,0.8125,52,5
insert,0.875,72,5
insert,0.9375,51,5
insert,1,14782,6
insert,0.53125,52,6
insert,0.5625,52,6
insert,0.59375,72,6
insert,0.625,52,6
insert,0.65625,73,6
insert,0.6875,52,6
insert,0.71875,51,6
insert,0.75,51,6
insert,0.78125,71,6
insert,0.8125,51,6
insert,0.84375,52,6
insert,0.875,52,6
insert,0.90625,51,6
insert,0.9375,51,6
insert,0.96875,52,6
insert,1,14480,7
insert,0.515625,79,7
insert,0.53125,76,7
insert,0.546875,70,7
insert,0.5625,66,7
insert,0.578125,71,7
insert,0.59375,73,7
insert,0.609375,88,7
insert,0.625,70,7
insert,0.640625,84,7
insert,0.65625,72,7
insert,0.671875,73,7
insert,0.6875,66,7
insert,0.703125,58,7
insert,0.71875,52,7
insert,0.734375,52,7
insert,0.75,51,7
insert,0.765625,51,7
insert,0.78125,51,7
insert,0.796875,52,7
insert,0.8125,52,7
insert,0.828125,51,7
insert,0.84375,52,7
insert,0.859375,53,7
insert,0.875,51,7
insert,0.890625,52,7
insert,0.90625,51,7
insert,0.921875,51,7
insert,0.9375,52,7
insert,0.953125,52,7
insert,0.96875,52,7
insert,0.984375,52,7
insert,1,15853,8
insert,0.507812,56,8
insert,0.515625,52,8
insert,0.523438,52,8
insert,0.53125,52,8
insert,0.539062,72,8
insert,0.546875,74,8
insert,0.554688,52,8
insert,0.5625,74,8
insert,0.570312,51,8
insert,0.578125,51,8
insert,0.585938,52,8
insert,0.59375,51,8
insert,0.601562,52,8
insert,0.609375,51,8
insert,0.617188,51,8
insert,0.625,53,8
insert,0.632812,51,8
insert,0.640625,51,8
insert,0.648438,51,8
insert,0.65625,51,8
insert,0.664062,51,8
insert,0.671875,58,8
insert,0.679688,51,8
insert,0.6875,52,8
insert,0.695312,52,8
insert,0.703125,52,8
insert,0.710938,51,8
insert,0.71875,51,8
insert,0.726562,52,8
insert,0.734375,52,8
