operation,load_factor,time,resize_count
insert,0,2522,0
insert,9.99101e-05,425,0
insert,0.00019982,512,0
insert,0.00029973,375,0
insert,0.00039964,485,0
insert,0.00049955,483,0
insert,0.00059946,495,0
insert,0.000699371,340,0
insert,0.000799281,601,0
insert,0.000899191,435,0
insert,0.000999101,547,0
insert,0.00109901,407,0
insert,0.00119892,505,0
insert,0.00129883,599,0
insert,0.00139874,492,0
insert,0.00149865,425,0
insert,0.00159856,411,0
insert,0.00169847,421,0
insert,0.00179838,453,0
insert,0.00189829,367,0
insert,0.0019982,740,0
insert,0.00209811,405,0
insert,0.00219802,351,0
insert,0.00229793,527,0
insert,0.00239784,408,0
insert,0.00249775,418,0
insert,0.00259766,387,0
insert,0.00269757,435,0
insert,0.00279748,362,0
insert,0.00289739,374,0
insert,0.0029973,413,0
insert,0.00309721,345,0
insert,0.00319712,364,0
insert,0.00329703,371,0
insert,0.00339694,350,0
insert,0.00349685,404,0
insert,0.00359676,355,0
insert,0.00369667,501,0
insert,0.00379658,370,0
insert,0.00389649,409,0
insert,0.0039964,444,0
insert,0.00409631,482,0
insert,0.00419622,390,0
insert,0.00429613,374,0
insert,0.00439604,561,0
insert,0.00449595,388,0
insert,0.00459586,478,0
insert,0.00469577,473,0
insert,0.00479568,440,0
insert,0.00489559,351,0
insert,0.0049955,438,0
insert,0.00509541,740,0
insert,0.00519532,438,0
insert,0.00529523,351,0
insert,0.00539514,528,0
insert,0.00549505,463,0
insert,0.00559496,364,0
insert,0.00569487,661,0
insert,0.00579478,536,0
insert,0.00589469,446,0
insert,0.0059946,391,0
insert,0.00609451,402,0
insert,0.00619443,377,0
insert,0.00629434,348,0
insert,0.00639425,418,0
insert,0.00649416,331,0
insert,0.00659407,418,0
insert,0.00669398,396,0
insert,0.00679389,364,0
insert,0.0068938,363,0
insert,0.00699371,340,0
insert,0.00709362,412,0
insert,0.00719353,366,0
insert,0.00729344,385,0
insert,0.00739335,421,0
insert,0.00749326,393,0
insert,0.00759317,339,0
insert,0.00769308,325,0
insert,0.00779299,420,0
insert,0.0078929,333,0
insert,0.00799281,611,0
insert,0.00809272,327,0
insert,0.00819263,437,0
insert,0.00829254,345,0
insert,0.00839245,464,0
insert,0.00849236,486,0
insert,0.00859227,760,0
insert,0.00869218,398,0
insert,0.00879209,432,0
insert,0.008892,351,0
insert,0.00899191,335,0
insert,0.00909182,365,0
insert,0.00919173,331,0
insert,0.00929164,334,0
insert,0.00939155,382,0
insert,0.00949146,355,0
insert,0.00959137,343,0
insert,0.00969128,332,0
insert,0.00979119,381,0
insert,0.0098911,360,0
insert,0.00999101,340,0
insert,0.0100909,402,0
insert,0.0101908,384,0
insert,0.0102907,478,0
insert,0.0103906,387,0
insert,0.0104906,332,0
insert,0.0105905,344,0
insert,0.0106904,333,0
insert,0.0107903,336,0
insert,0.0108902,392,0
insert,0.0109901,346,0
insert,0.01109,339,0
insert,0.0111899,414,0
insert,0.0112898,426,0
insert,0.0113897,421,0
insert,0.0114897,529,0
insert,0.0115896,486,0
insert,0.0116895,357,0
insert,0.0117894,843,0
insert,0.0118893,556,0
insert,0.0119892,419,0
insert,0.0120891,345,0
insert,0.012189,504,0
insert,0.0122889,723,0
insert,0.0123889,344,0
insert,0.0124888,353,0
insert,0.0125887,330,0
insert,0.0126886,376,0
insert,0.0127885,593,0
insert,0.0128884,368,0
insert,0.0129883,551,0
insert,0.0130882,432,0
insert,0.0131881,486,0
insert,0.013288,368,0
insert,0.013388,444,0
insert,0.0134879,430,0
insert,0.0135878,426,0
insert,0.0136877,500,0
insert,0.0137876,485,0
insert,0.0138875,413,0
insert,0.0139874,344,0
insert,0.0140873,352,0
insert,0.0141872,491,0
insert,0.0142871,336,0
insert,0.0143871,372,0
insert,0.014487,334,0
insert,0.0145869,397,0
insert,0.0146868,339,0
insert,0.0147867,485,0
insert,0.0148866,345,0
insert,0.0149865,328,0
insert,0.0150864,335,0
insert,0.0151863,389,0
insert,0.0152862,340,0
insert,0.0153862,440,0
insert,0.0154861,323,0
insert,0.015586,395,0
insert,0.0156859,499,0
insert,0.0157858,473,0
insert,0.0158857,408,0
insert,0.0159856,368,0
insert,0.0160855,325,0
insert,0.0161854,338,0
insert,0.0162853,351,0
insert,0.0163853,408,0
insert,0.0164852,454,0
insert,0.0165851,329,0
insert,0.016685,498,0
insert,0.0167849,356,0
insert,0.0168848,344,0
insert,0.0169847,334,0
insert,0.0170846,347,0
insert,0.0171845,342,0
insert,0.0172844,484,0
insert,0.0173844,491,0
insert,0.0174843,337,0
insert,0.0175842,325,0
insert,0.0176841,302,0
insert,0.017784,387,0
insert,0.0178839,322,0
insert,0.0179838,331,0
insert,0.0180837,334,0
insert,0.0181836,364,0
insert,0.0182835,336,0
insert,0.0183835,454,0
insert,0.0184834,342,0
insert,0.0185833,385,0
insert,0.0186832,393,0
insert,0.0187831,386,0
insert,0.018883,301,0
insert,0.0189829,323,0
insert,0.0190828,435,0
insert,0.0191827,343,0
insert,0.0192826,343,0
insert,0.0193826,401,0
insert,0.0194825,466,0
insert,0.0195824,398,0
insert,0.0196823,349,0
insert,0.0197822,525,0
insert,0.0198821,1987,0
insert,0.019982,532,0
insert,0.0200819,470,0
insert,0.0201818,421,0
insert,0.0202817,557,0
insert,0.0203817,311,0
insert,0.0204816,457,0
insert,0.0205815,414,0
insert,0.0206814,388,0
insert,0.0207813,310,0
insert,0.0208812,431,0
insert,0.0209811,501,0
insert,0.021081,387,0
insert,0.0211809,380,0
insert,0.0212808,414,0
insert,0.0213808,343,0
insert,0.0214807,382,0
insert,0.0215806,322,0
insert,0.0216805,440,0
insert,0.0217804,398,0
insert,0.0218803,450,0
insert,0.0219802,324,0
insert,0.0220801,459,0
insert,0.02218,499,0
insert,0.0222799,392,0
insert,0.0223799,610,0
insert,0.0224798,694,0
insert,0.0225797,464,0
insert,0.0226796,320,0
insert,0.0227795,439,0
insert,0.0228794,537,0
insert,0.0229793,368,0
insert,0.0230792,384,0
insert,0.0231791,327,0
insert,0.023279,317,0
insert,0.023379,384,0
insert,0.0234789,337,0
insert,0.0235788,341,0
insert,0.0236787,639,0
