operation,load_factor,time,resize_count
insert,0,2151,0
insert,9.99101e-05,953,0
insert,0.00019982,485,0
insert,0.00029973,432,0
insert,0.00039964,396,0
insert,0.00049955,422,0
insert,0.00059946,502,0
insert,0.000699371,425,0
insert,0.000799281,404,0
insert,0.000899191,485,0
insert,0.000999101,416,0
insert,0.00109901,465,0
insert,0.00119892,5234,0
insert,0.00129883,400,0
insert,0.00139874,649,0
insert,0.00149865,410,0
insert,0.00159856,325,0
insert,0.00169847,339,0
insert,0.00179838,405,0
insert,0.00189829,449,0
insert,0.0019982,355,0
insert,0.00209811,374,0
insert,0.00219802,342,0
insert,0.00229793,367,0
insert,0.00239784,418,0
insert,0.00249775,381,0
insert,0.00259766,384,0
insert,0.00269757,352,0
insert,0.00279748,377,0
insert,0.00289739,345,0
insert,0.0029973,424,0
insert,0.00309721,422,0
insert,0.00319712,352,0
insert,0.00329703,349,0
insert,0.00339694,340,0
insert,0.00349685,335,0
insert,0.00359676,330,0
insert,0.00369667,391,0
insert,0.00379658,423,0
insert,0.00389649,433,0
insert,0.0039964,327,0
insert,0.00409631,357,0
insert,0.00419622,348,0
insert,0.00429613,373,0
insert,0.00439604,341,0
insert,0.00449595,385,0
insert,0.00459586,386,0
insert,0.00469577,354,0
insert,0.00479568,339,0
insert,0.00489559,333,0
insert,0.0049955,400,0
insert,0.00509541,422,0
insert,0.00519532,336,0
insert,0.00529523,352,0
insert,0.00539514,338,0
insert,0.00549505,334,0
insert,0.00559496,335,0
insert,0.00569487,425,0
insert,0.00579478,415,0
insert,0.00589469,384,0
insert,0.0059946,337,0
insert,0.00609451,320,0
insert,0.00619443,393,0
insert,0.00629434,420,0
insert,0.00639425,406,0
insert,0.00649416,335,0
insert,0.00659407,360,0
insert,0.00669398,333,0
insert,0.00679389,337,0
insert,0.0068938,336,0
insert,0.00699371,468,0
insert,0.00709362,338,0
insert,0.00719353,362,0
insert,0.00729344,341,0
insert,0.00739335,345,0
insert,0.00749326,359,0
insert,0.00759317,401,0
insert,0.00769308,394,0
insert,0.00779299,347,0
insert,0.0078929,340,0
insert,0.00799281,331,0
insert,0.00809272,335,0
insert,0.00819263,362,0
insert,0.00829254,421,0
insert,0.00839245,358,0
insert,0.00849236,364,0
insert,0.00859227,325,0
insert,0.00869218,375,0
insert,0.00879209,357,0
insert,0.008892,335,0
insert,0.00899191,426,0
insert,0.00909182,320,0
insert,0.00919173,330,0
insert,0.00929164,347,0
insert,0.00939155,680,0
insert,0.00949146,336,0
insert,0.00959137,330,0
insert,0.00969128,325,0
insert,0.00979119,344,0
insert,0.0098911,358,0
insert,0.00999101,368,0
insert,0.0100909,398,0
insert,0.0101908,351,0
insert,0.0102907,468,0
insert,0.0103906,415,0
insert,0.0104906,369,0
insert,0.0105905,343,0
insert,0.0106904,350,0
insert,0.0107903,358,0
insert,0.0108902,351,0
insert,0.0109901,515,0
insert,0.01109,317,0
insert,0.0111899,353,0
insert,0.0112898,336,0
insert,0.0113897,326,0
insert,0.0114897,403,0
insert,0.0115896,338,0
insert,0.0116895,352,0
insert,0.0117894,363,0
insert,0.0118893,325,0
insert,0.0119892,369,0
insert,0.0120891,423,0
insert,0.012189,477,0
insert,0.0122889,339,0
insert,0.0123889,338,0
insert,0.0124888,328,0
insert,0.0125887,424,0
insert,0.0126886,372,0
insert,0.0127885,322,0
insert,0.0128884,379,0
insert,0.0129883,342,0
insert,0.0130882,328,0
insert,0.0131881,340,0
insert,0.013288,370,0
insert,0.013388,325,0
insert,0.0134879,345,0
insert,0.0135878,404,0
insert,0.0136877,352,0
insert,0.0137876,392,0
insert,0.0138875,485,0
insert,0.0139874,366,0
insert,0.0140873,348,0
insert,0.0141872,402,0
insert,0.0142871,327,0
insert,0.0143871,335,0
insert,0.014487,353,0
insert,0.0145869,343,0
insert,0.0146868,373,0
insert,0.0147867,354,0
insert,0.0148866,329,0
insert,0.0149865,392,0
insert,0.0150864,340,0
insert,0.0151863,342,0
insert,0.0152862,355,0
insert,0.0153862,395,0
insert,0.0154861,325,0
insert,0.015586,342,0
insert,0.0156859,465,0
insert,0.0157858,335,0
insert,0.0158857,325,0
insert,0.0159856,341,0
insert,0.0160855,352,0
insert,0.0161854,329,0
insert,0.0162853,358,0
insert,0.0163853,400,0
insert,0.0164852,502,0
insert,0.0165851,597,0
insert,0.016685,365,0
insert,0.0167849,355,0
insert,0.0168848,533,0
insert,0.0169847,11888,0
insert,0.0170846,337,0
insert,0.0171845,393,0
insert,0.0172844,425,0
insert,0.0173844,423,0
insert,0.0174843,339,0
insert,0.0175842,338,0
insert,0.0176841,413,0
insert,0.017784,329,0
insert,0.0178839,462,0
insert,0.0179838,359,0
insert,0.0180837,312,0
insert,0.0181836,337,0
insert,0.0182835,346,0
insert,0.0183835,685,0
insert,0.0184834,581,0
insert,0.0185833,404,0
insert,0.0186832,395,0
insert,0.0187831,350,0
insert,0.018883,339,0
insert,0.0189829,323,0
insert,0.0190828,394,0
insert,0.0191827,447,0
insert,0.0192826,401,0
insert,0.0193826,462,0
insert,0.0194825,337,0
insert,0.0195824,444,0
insert,0.0196823,371,0
insert,0.0197822,334,0
insert,0.0198821,325,0
insert,0.019982,386,0
insert,0.0200819,405,0
insert,0.0201818,320,0
insert,0.0202817,458,0
insert,0.0203817,323,0
insert,0.0204816,343,0
insert,0.0205815,358,0
insert,0.0206814,342,0
insert,0.0207813,321,0
insert,0.0208812,344,0
insert,0.0209811,323,0
insert,0.021081,386,0
insert,0.0211809,404,0
insert,0.0212808,363,0
insert,0.0213808,340,0
insert,0.0214807,336,0
insert,0.0215806,339,0
insert,0.0216805,327,0
insert,0.0217804,350,0
insert,0.0218803,414,0
insert,0.0219802,324,0
insert,0.0220801,423,0
insert,0.02218,362,0
insert,0.0222799,411,0
insert,0.0223799,337,0
insert,0.0224798,455,0
insert,0.0225797,335,0
insert,0.0226796,337,0
insert,0.0227795,319,0
insert,0.0228794,337,0
insert,0.0229793,339,0
insert,0.0230792,328,0
insert,0.0231791,388,0
insert,0.023279,374,0
insert,0.023379,356,0
insert,0.0234789,337,0
insert,0.0235788,377,0
insert,0.0236787,391,0
insert,0.0237786,339,0
insert,0.0238785,322,0
insert,0.0239784,341,0
insert,0.0240783,371,0
insert,0.0241782,582,0
insert,0.0242781,333,0
insert,0.0243781,518,0
insert,0.024478,401,0
insert,0.0245779,357,0
