operation,load_factor,time,resize_count
insert,0,198,0
insert,9.99101e-05,77,0
insert,0.00019982,70,0
insert,0.00029973,67,0
insert,0.00039964,68,0
insert,0.00049955,144,0
insert,0.00059946,101,0
insert,0.000699371,68,0
insert,0.000799281,65,0
insert,0.000899191,84,0
insert,0.000999101,82,0
insert,0.00109901,85,0
insert,0.00119892,69,0
insert,0.00129883,69,0
insert,0.00139874,69,0
insert,0.00149865,102,0
insert,0.00159856,69,0
insert,0.00169847,69,0
insert,0.00179838,70,0
insert,0.00189829,70,0
insert,0.0019982,69,0
insert,0.00209811,67,0
insert,0.00219802,68,0
insert,0.00229793,69,0
insert,0.00239784,103,0
insert,0.00249775,68,0
insert,0.00259766,68,0
insert,0.00269757,66,0
insert,0.00279748,103,0
insert,0.00289739,139,0
insert,0.0029973,81,0
insert,0.00309721,102,0
insert,0.00319712,65,0
insert,0.00329703,64,0
insert,0.00339694,103,0
insert,0.00349685,65,0
insert,0.00359676,68,0
insert,0.00369667,68,0
insert,0.00379658,68,0
insert,0.00389649,65,0
insert,0.0039964,68,0
insert,0.00409631,68,0
insert,0.00419622,100,0
insert,0.00429613,68,0
insert,0.00439604,68,0
insert,0.00449595,65,0
insert,0.00459586,69,0
insert,0.00469577,84,0
insert,0.00479568,69,0
insert,0.00489559,68,0
insert,0.0049955,68,0
insert,0.00509541,67,0
insert,0.00519532,69,0
insert,0.00529523,65,0
insert,0.00539514,68,0
insert,0.00549505,69,0
insert,0.00559496,81,0
insert,0.00569487,69,0
insert,0.00579478,69,0
insert,0.00589469,69,0
insert,0.0059946,68,0
insert,0.00609451,66,0
insert,0.00619443,70,0
insert,0.00629434,102,0
insert,0.00639425,145,0
insert,0.00649416,68,0
insert,0.00659407,70,0
insert,0.00669398,67,0
insert,0.00679389,67,0
insert,0.0068938,69,0
insert,0.00699371,68,0
insert,0.00709362,103,0
insert,0.00719353,69,0
insert,0.00729344,65,0
insert,0.00739335,84,0
insert,0.00749326,68,0
insert,0.00759317,70,0
insert,0.00769308,105,0
insert,0.00779299,81,0
insert,0.0078929,68,0
insert,0.00799281,70,0
insert,0.00809272,68,0
insert,0.00819263,69,0
insert,0.00829254,67,0
insert,0.00839245,84,0
insert,0.00849236,68,0
insert,0.00859227,69,0
insert,0.00869218,64,0
insert,0.00879209,68,0
insert,0.008892,70,0
insert,0.00899191,68,0
insert,0.00909182,69,0
insert,0.00919173,69,0
insert,0.00929164,68,0
insert,0.00939155,70,0
insert,0.00949146,69,0
insert,0.00959137,85,0
insert,0.00969128,103,0
insert,0.00979119,65,0
insert,0.0098911,69,0
insert,0.00999101,64,0
insert,0.0100909,70,0
insert,0.0101908,68,0
insert,0.0102907,69,0
insert,0.0103906,69,0
insert,0.0104906,68,0
insert,0.0105905,70,0
insert,0.0106904,71,0
insert,0.0107903,106,0
insert,0.0108902,69,0
insert,0.0109901,67,0
insert,0.01109,65,0
insert,0.0111899,68,0
insert,0.0112898,65,0
insert,0.0113897,103,0
insert,0.0114897,69,0
insert,0.0115896,68,0
insert,0.0116895,68,0
insert,0.0117894,68,0
insert,0.0118893,68,0
insert,0.0119892,69,0
insert,0.0120891,67,0
insert,0.012189,68,0
insert,0.0122889,68,0
insert,0.0123889,68,0
insert,0.0124888,66,0
insert,0.0125887,69,0
insert,0.0126886,68,0
insert,0.0127885,68,0
insert,0.0128884,65,0
insert,0.0129883,68,0
insert,0.0130882,68,0
insert,0.0131881,67,0
insert,0.013288,65,0
insert,0.013388,67,0
insert,0.0134879,66,0
insert,0.0135878,147,0
insert,0.0136877,65,0
insert,0.0137876,103,0
insert,0.0138875,69,0
insert,0.0139874,65,0
insert,0.0140873,69,0
insert,0.0141872,66,0
insert,0.0142871,70,0
insert,0.0143871,69,0
insert,0.014487,68,0
insert,0.0145869,70,0
insert,0.0146868,67,0
insert,0.0147867,65,0
insert,0.0148866,69,0
insert,0.0149865,68,0
insert,0.0150864,68,0
insert,0.0151863,68,0
insert,0.0152862,68,0
insert,0.0153862,67,0
insert,0.0154861,68,0
insert,0.015586,68,0
insert,0.0156859,68,0
insert,0.0157858,69,0
insert,0.0158857,67,0
insert,0.0159856,69,0
insert,0.0160855,65,0
insert,0.0161854,67,0
insert,0.0162853,69,0
insert,0.0163853,68,0
insert,0.0164852,98,0
insert,0.0165851,69,0
insert,0.016685,69,0
insert,0.0167849,103,0
insert,0.0168848,70,0
insert,0.0169847,67,0
insert,0.0170846,68,0
insert,0.0171845,64,0
insert,0.0172844,82,0
insert,0.0173844,68,0
insert,0.0174843,69,0
insert,0.0175842,69,0
insert,0.0176841,68,0
insert,0.017784,64,0
insert,0.0178839,70,0
insert,0.0179838,68,0
insert,0.0180837,147,0
insert,0.0181836,69,0
insert,0.0182835,69,0
insert,0.0183835,69,0
insert,0.0184834,68,0
insert,0.0185833,104,0
insert,0.0186832,68,0
insert,0.0187831,70,0
insert,0.018883,68,0
insert,0.0189829,68,0
insert,0.0190828,68,0
insert,0.0191827,69,0
insert,0.0192826,104,0
insert,0.0193826,103,0
insert,0.0194825,68,0
insert,0.0195824,67,0
insert,0.0196823,69,0
insert,0.0197822,68,0
insert,0.0198821,69,0
insert,0.019982,65,0
insert,0.0200819,65,0
insert,0.0201818,102,0
insert,0.0202817,102,0
insert,0.0203817,68,0
insert,0.0204816,64,0
insert,0.0205815,145,0
insert,0.0206814,69,0
insert,0.0207813,64,0
insert,0.0208812,66,0
insert,0.0209811,68,0
insert,0.021081,68,0
insert,0.0211809,68,0
insert,0.0212808,69,0
insert,0.0213808,68,0
insert,0.0214807,99,0
insert,0.0215806,69,0
insert,0.0216805,68,0
insert,0.0217804,99,0
insert,0.0218803,91,0
insert,0.0219802,170,0
insert,0.0220801,113,0
insert,0.02218,90,0
insert,0.0222799,92,0
insert,0.0223799,117,0
insert,0.0224798,93,0
insert,0.0225797,95,0
insert,0.0226796,91,0
insert,0.0227795,91,0
insert,0.0228794,116,0
insert,0.0229793,94,0
insert,0.0230792,95,0
insert,0.0231791,147,0
insert,0.023279,102,0
insert,0.023379,67,0
insert,0.0234789,145,0
insert,0.0235788,101,0
insert,0.0236787,82,0
insert,0.0237786,67,0
insert,0.0238785,67,0
insert,0.0239784,67,0
insert,0.0240783,80,0
insert,0.0241782,150,0
insert,0.0242781,68,0
insert,0.0243781,69,0
insert,0.024478,67,0
insert,0.0245779,102,0
insert,0.0246778,69,0
insert,0.0247777,180,0
insert,0.0248776,67,0
insert,0.0249775,67,0
insert,0.0250774,68,0
insert,0.0251773,67,0
insert,0.0252773,68,0
insert,0.0253772,68,0
insert,0.0254771,69,0
insert,0.025577,68,0
insert,0.0256769,65,0
insert,0.0257768,65,0
insert,0.0258767,68,0
insert,0.0259766,68,0
insert,0.0260765,85,0
insert,0.0261764,68,0
insert,0.0262764,68,0
insert,0.0263763,102,0
insert,0.0264762,69,0
insert,0.0265761,68,0
insert,0.026676,143,0
insert,0.0267759,68,0
insert,0.0268758,65,0
insert,0.0269757,148,0
insert,0.0270756,68,0
insert,0.0271755,141,0
insert,0.0272755,68,0
insert,0.0273754,68,0
insert,0.0274753,68,0
insert,0.0275752,86,0
insert,0.0276751,70,0
insert,0.027775,146,0
insert,0.0278749,81,0
insert,0.0279748,103,0
insert,0.0280747,68,0
insert,0.0281746,69,0
insert,0.0282746,65,0
insert,0.0283745,81,0
insert,0.0284744,149,0
insert,0.0285743,69,0
insert,0.0286742,65,0
insert,0.0287741,67,0
insert,0.028874,70,0
insert,0.0289739,64,0
insert,0.0290738,69,0
insert,0.0291737,83,0
insert,0.0292737,69,0
insert,0.0293736,85,0
insert,0.0294735,67,0
insert,0.0295734,69,0
insert,0.0296733,68,0
insert,0.0297732,69,0
insert,0.0298731,70,0
insert,0.029973,142,0
insert,0.0300729,99,0
insert,0.0301728,68,0
insert,0.0302728,69,0
insert,0.0303727,68,0
insert,0.0304726,64,0
insert,0.0305725,68,0
insert,0.0306724,71,0
insert,0.0307723,68,0
insert,0.0308722,99,0
insert,0.0309721,150,0
insert,0.031072,68,0
insert,0.0311719,69,0
insert,0.0312719,68,0
insert,0.0313718,69,0
insert,0.0314717,69,0
insert,0.0315716,84,0
insert,0.0316715,68,0
insert,0.0317714,87,0
insert,0.0318713,69,0
insert,0.0319712,147,0
insert,0.0320711,68,0
insert,0.032171,64,0
insert,0.032271,65,0
insert,0.0323709,144,0
insert,0.0324708,68,0
insert,0.0325707,85,0
insert,0.0326706,69,0
insert,0.0327705,99,0
insert,0.0328704,115,0
insert,0.0329703,68,0
insert,0.0330702,68,0
insert,0.0331701,85,0
insert,0.0332701,86,0
insert,0.03337,68,0
