operation,load_factor,time,resize_count
insert,0,142,0
insert,9.99101e-05,60,0
insert,0.00019982,84,0
insert,0.00029973,78,0
insert,0.00039964,52,0
insert,0.00049955,53,0
insert,0.00059946,55,0
insert,0.000699371,54,0
insert,0.000799281,53,0
insert,0.000899191,54,0
insert,0.000999101,72,0
insert,0.00109901,53,0
insert,0.00119892,53,0
insert,0.00129883,54,0
insert,0.00139874,55,0
insert,0.00149865,54,0
insert,0.00159856,54,0
insert,0.00169847,55,0
insert,0.00179838,53,0
insert,0.00189829,53,0
insert,0.0019982,53,0
insert,0.00209811,69,0
insert,0.00219802,53,0
insert,0.00229793,54,0
insert,0.00239784,53,0
insert,0.00249775,53,0
insert,0.00259766,54,0
insert,0.00269757,54,0
insert,0.00279748,54,0
insert,0.00289739,54,0
insert,0.0029973,56,0
insert,0.00309721,53,0
insert,0.00319712,68,0
insert,0.00329703,54,0
insert,0.00339694,53,0
insert,0.00349685,53,0
insert,0.00359676,53,0
insert,0.00369667,82,0
insert,0.00379658,53,0
insert,0.00389649,53,0
insert,0.0039964,66,0
insert,0.00409631,52,0
insert,0.00419622,53,0
insert,0.00429613,53,0
insert,0.00439604,54,0
insert,0.00449595,53,0
insert,0.00459586,53,0
insert,0.00469577,55,0
insert,0.00479568,53,0
insert,0.00489559,52,0
insert,0.0049955,53,0
insert,0.00509541,54,0
insert,0.00519532,54,0
insert,0.00529523,53,0
insert,0.00539514,53,0
insert,0.00549505,53,0
insert,0.00559496,54,0
insert,0.00569487,53,0
insert,0.00579478,53,0
insert,0.00589469,53,0
insert,0.0059946,54,0
insert,0.00609451,54,0
insert,0.00619443,53,0
insert,0.00629434,54,0
insert,0.00639425,69,0
insert,0.00649416,54,0
insert,0.00659407,52,0
insert,0.00669398,53,0
insert,0.00679389,55,0
insert,0.0068938,53,0
insert,0.00699371,53,0
insert,0.00709362,53,0
insert,0.00719353,54,0
insert,0.00729344,54,0
insert,0.00739335,79,0
insert,0.00749326,53,0
insert,0.00759317,53,0
insert,0.00769308,53,0
insert,0.00779299,53,0
insert,0.0078929,53,0
insert,0.00799281,53,0
insert,0.00809272,53,0
insert,0.00819263,53,0
insert,0.00829254,53,0
insert,0.00839245,54,0
insert,0.00849236,53,0
insert,0.00859227,54,0
insert,0.00869218,53,0
insert,0.00879209,53,0
insert,0.008892,54,0
insert,0.00899191,53,0
insert,0.00909182,53,0
insert,0.00919173,54,0
insert,0.00929164,53,0
insert,0.00939155,108,0
insert,0.00949146,53,0
insert,0.00959137,53,0
insert,0.00969128,54,0
insert,0.00979119,54,0
insert,0.0098911,53,0
insert,0.00999101,53,0
insert,0.0100909,53,0
insert,0.0101908,53,0
insert,0.0102907,54,0
insert,0.0103906,52,0
insert,0.0104906,53,0
insert,0.0105905,53,0
insert,0.0106904,53,0
insert,0.0107903,54,0
insert,0.0108902,53,0
insert,0.0109901,53,0
insert,0.01109,52,0
insert,0.0111899,53,0
insert,0.0112898,53,0
insert,0.0113897,53,0
insert,0.0114897,54,0
insert,0.0115896,52,0
insert,0.0116895,53,0
insert,0.0117894,53,0
insert,0.0118893,55,0
insert,0.0119892,54,0
insert,0.0120891,54,0
insert,0.012189,67,0
insert,0.0122889,75,0
insert,0.0123889,84,0
insert,0.0124888,81,0
insert,0.0125887,85,0
insert,0.0126886,100,0
insert,0.0127885,161,0
insert,0.0128884,81,0
insert,0.0129883,94,0
insert,0.0130882,98,0
insert,0.0131881,82,0
insert,0.013288,84,0
insert,0.013388,91,0
insert,0.0134879,88,0
insert,0.0135878,59,0
insert,0.0136877,88,0
insert,0.0137876,70,0
insert,0.0138875,56,0
insert,0.0139874,71,0
insert,0.0140873,56,0
insert,0.0141872,73,0
insert,0.0142871,73,0
insert,0.0143871,58,0
insert,0.014487,74,0
insert,0.0145869,111,0
insert,0.0146868,74,0
insert,0.0147867,73,0
insert,0.0148866,90,0
insert,0.0149865,57,0
insert,0.0150864,56,0
insert,0.0151863,73,0
insert,0.0152862,56,0
insert,0.0153862,57,0
insert,0.0154861,75,0
insert,0.015586,56,0
insert,0.0156859,73,0
insert,0.0157858,56,0
insert,0.0158857,56,0
insert,0.0159856,57,0
insert,0.0160855,57,0
insert,0.0161854,57,0
insert,0.0162853,68,0
insert,0.0163853,74,0
insert,0.0164852,70,0
insert,0.0165851,106,0
insert,0.016685,73,0
insert,0.0167849,58,0
insert,0.0168848,98,0
insert,0.0169847,70,0
insert,0.0170846,72,0
insert,0.0171845,73,0
insert,0.0172844,75,0
insert,0.0173844,56,0
insert,0.0174843,90,0
insert,0.0175842,72,0
insert,0.0176841,105,0
insert,0.017784,57,0
insert,0.0178839,56,0
insert,0.0179838,76,0
insert,0.0180837,62,0
insert,0.0181836,80,0
insert,0.0182835,57,0
insert,0.0183835,56,0
