operation,load_factor,time,resize_count
insert,0,2799,0
insert,0,682,0
insert,0,963,0
insert,0,528,0
insert,0,506,0
insert,0,444,0
insert,0,545,0
insert,0,528,0
insert,0,480,0
insert,0,643,0
insert,0,486,0
insert,0,572,0
insert,0,498,0
insert,0,475,0
insert,0,625,0
insert,0,466,0
insert,0,428,0
insert,0,600,0
insert,0,614,0
insert,0,493,0
insert,0,465,0
insert,0,566,0
insert,0,596,0
insert,0,421,0
insert,0,562,0
insert,0,590,0
insert,0,499,0
insert,0,620,0
insert,0,541,0
insert,0,458,0
insert,0,483,0
insert,0,529,0
insert,0,498,0
insert,0,468,0
insert,0,570,0
insert,0,598,0
insert,0,467,0
insert,0,496,0
insert,0,480,0
insert,0,417,0
insert,0,593,0
insert,0,554,0
insert,0,532,0
insert,0,567,0
insert,0,666,0
insert,0,486,0
insert,0,531,0
insert,0,434,0
insert,0,555,0
insert,0,461,0
insert,0,584,0
insert,0,506,0
insert,0,574,0
insert,0,473,0
insert,0,682,0
insert,0,495,0
insert,0,537,0
insert,0,634,0
insert,0,599,0
insert,0,550,0
insert,0,486,0
insert,0,552,0
insert,0,504,0
insert,0,569,0
insert,0,595,0
insert,0,572,0
insert,0,579,0
insert,0,557,0
insert,0,571,0
insert,0,546,0
insert,0,595,0
insert,0,545,0
insert,0,512,0
insert,0,612,0
insert,0,513,0
insert,0,565,0
insert,0,498,0
insert,0,796,0
insert,0,555,0
insert,0,675,0
insert,0,498,0
insert,0,551,0
insert,0,690,0
insert,0,500,0
insert,0,584,0
insert,0,478,0
insert,0,587,0
insert,0,521,0
insert,0,543,0
insert,0,510,0
insert,0,710,0
insert,0,591,0
insert,0,626,0
insert,0,583,0
insert,0,632,0
insert,0,516,0
insert,0,575,0
insert,0,488,0
insert,0,592,0
insert,0,544,0
insert,0,581,0
insert,0,649,0
insert,0,744,0
insert,0,637,0
insert,0,638,0
insert,0,579,0
insert,0,484,0
insert,0,577,0
insert,0,568,0
insert,0,568,0
insert,0,552,0
insert,0,655,0
insert,0,561,0
insert,0,612,0
insert,0,616,0
insert,0,489,0
insert,0,580,0
insert,0,686,0
insert,0,644,0
insert,0,716,0
insert,0,532,0
insert,0,519,0
insert,0,665,0
insert,0,586,0
insert,0,703,0
insert,0,623,0
insert,0,603,0
insert,0,634,0
insert,0,595,0
insert,0,570,0
insert,0,610,0
insert,0,593,0
insert,0,701,0
insert,0,675,0
insert,0,528,0
insert,0,720,0
insert,0,555,0
insert,0,590,0
insert,0,642,0
insert,0,545,0
insert,0,601,0
insert,0,516,0
insert,0,571,0
insert,0,658,0
insert,0,679,0
insert,0,660,0
insert,0,582,0
insert,0,648,0
insert,0,588,0
insert,0,566,0
insert,0,528,0
insert,0,621,0
insert,0,741,0
insert,0,579,0
insert,0,630,0
insert,0,586,0
insert,0,627,0
insert,0,635,0
insert,0,591,0
insert,0,575,0
insert,0,654,0
insert,0,612,0
insert,0,566,0
insert,0,632,0
insert,0,682,0
insert,0,589,0
insert,0,568,0
insert,0,606,0
insert,0,575,0
insert,0,654,0
insert,0,7885,0
insert,0,596,0
insert,0,587,0
insert,0,629,0
insert,0,602,0
insert,0,726,0
insert,0,812,0
insert,0,731,0
insert,0,706,0
insert,0,769,0
insert,0,686,0
insert,0,622,0
insert,0,727,0
insert,0,754,0
insert,0,733,0
insert,0,678,0
insert,0,758,0
insert,0,783,0
insert,0,707,0
insert,0,1076,0
insert,0,656,0
insert,0,741,0
insert,0,635,0
insert,0,600,0
insert,0,703,0
insert,0,661,0
insert,0,713,0
insert,0,609,0
insert,0,653,0
insert,0,550,0
insert,0,596,0
insert,0,554,0
insert,0,593,0
insert,0,548,0
insert,0,653,0
insert,0,645,0
insert,0,685,0
insert,0,628,0
insert,0,663,0
insert,0,782,0
insert,0,663,0
insert,0,566,0
insert,0,696,0
insert,0,604,0
insert,0,594,0
insert,0,681,0
insert,0,541,0
insert,0,551,0
insert,0,654,0
insert,0,640,0
insert,0,637,0
insert,0,645,0
insert,0,582,0
insert,0,663,0
insert,0,683,0
insert,0,603,0
insert,0,582,0
insert,0,615,0
insert,0,768,0
insert,0,641,0
insert,0,810,0
insert,0,560,0
insert,0,605,0
insert,0,666,0
insert,0,617,0
insert,0,585,0
insert,0,666,0
insert,0,660,0
insert,0,680,0
insert,0,547,0
insert,0,711,0
insert,0,652,0
insert,0,653,0
insert,0,644,0
insert,0,553,0
insert,0,547,0
insert,0,609,0
insert,0,705,0
insert,0,590,0
insert,0,678,0
insert,0,761,0
insert,0,603,0
insert,0,761,0
insert,0,605,0
insert,0,748,0
insert,0,582,0
insert,0,598,0
insert,0,639,0
insert,0,712,0
insert,0,600,0
insert,0,652,0
insert,0,712,0
insert,0,555,0
insert,0,628,0
insert,0,538,0
insert,0,670,0
insert,0,573,0
insert,0,604,0
insert,0,642,0
insert,0,581,0
insert,0,705,0
insert,0,739,0
insert,0,548,0
insert,0,680,0
insert,0,573,0
insert,0,720,0
insert,0,597,0
insert,0,705,0
insert,0,560,0
insert,0,638,0
insert,0,593,0
insert,0,721,0
insert,0,648,0
insert,0,583,0
insert,0,604,0
insert,0,672,0
insert,0,626,0
insert,0,691,0
insert,0,550,0
insert,0,637,0
insert,0,692,0
insert,0,560,0
insert,0,674,0
insert,0,611,0
insert,0,672,0
insert,0,621,0
insert,0,613,0
insert,0,597,0
insert,0,617,0
insert,0,774,0
insert,0,556,0
insert,0,555,0
insert,0,591,0
insert,0,647,0
insert,0,742,0
insert,0,673,0
insert,0,563,0
insert,0,588,0
insert,0,556,0
insert,0,569,0
insert,0,632,0
insert,0,679,0
insert,0,550,0
insert,0,663,0
insert,0,603,0
insert,0,611,0
insert,0,623,0
insert,0,581,0
insert,0,630,0
insert,0,586,0
insert,0,641,0
insert,0,689,0
insert,0,614,0
insert,0,660,0
insert,0,740,0
insert,0,726,0
insert,0,555,0
insert,0,629,0
insert,0,607,0
insert,0,593,0
insert,0,671,0
insert,0,625,0
insert,0,583,0
insert,0,621,0
insert,0,670,0
insert,0,626,0
insert,0,694,0
insert,0,590,0
insert,0,694,0
insert,0,616,0
insert,0,5699,0
insert,0,606,0
insert,0,630,0
insert,0,592,0
insert,0,672,0
insert,0,687,0
insert,0,599,0
insert,0,657,0
insert,0,584,0
insert,0,573,0
insert,0,568,0
insert,0,620,0
insert,0,565,0
insert,0,651,0
insert,0,695,0
insert,0,595,0
insert,0,595,0
insert,0,648,0
insert,0,629,0
insert,0,701,0
insert,0,588,0
insert,0,538,0
insert,0,606,0
insert,0,613,0
insert,0,610,0
insert,0,626,0
insert,0,697,0
insert,0,793,0
insert,0,623,0
insert,0,606,0
insert,0,675,0
insert,0,593,0
insert,0,795,0
insert,0,700,0
insert,0,657,0
insert,0,706,0
insert,0,652,0
insert,0,550,0
insert,0,666,0
insert,0,640,0
insert,0,647,0
insert,0,569,0
insert,0,585,0
insert,0,559,0
insert,0,575,0
insert,0,666,0
insert,0,663,0
insert,0,729,0
insert,0,605,0
insert,0,680,0
insert,0,633,0
insert,0,664,0
insert,0,669,0
insert,0,723,0
insert,0,723,0
insert,0,744,0
insert,0,666,0
insert,0,683,0
insert,0,682,0
insert,0,702,0
insert,0,614,0
insert,0,590,0
insert,0,663,0
insert,0,630,0
insert,0,628,0
insert,0,570,0
insert,0,693,0
insert,0,648,0
insert,0,617,0
insert,0,691,0
insert,0,637,0
insert,0,546,0
insert,0,607,0
insert,0,680,0
insert,0,658,0
insert,0,679,0
insert,0,650,0
insert,0,561,0
insert,0,693,0
insert,0,658,0
insert,0,658,0
insert,0,671,0
insert,0,611,0
insert,0,617,0
insert,0,717,0
insert,0,657,0
insert,0,638,0
insert,0,653,0
insert,0,651,0
insert,0,630,0
insert,0,683,0
insert,0,671,0
insert,0,683,0
insert,0,688,0
insert,0,608,0
insert,0,570,0
insert,0,646,0
insert,0,598,0
insert,0,630,0
insert,0,664,0
insert,0,625,0
insert,0,655,0
insert,0,667,0
insert,0,630,0
insert,0,618,0
insert,0,654,0
insert,0,680,0
insert,0,587,0
insert,0,617,0
insert,0,606,0
insert,0,657,0
