operation,load_factor,time,resize_count
insert,0,481,0
insert,0,868,0
insert,0,68,0
insert,0,59,0
insert,0,212,0
insert,0,60,0
insert,0,82,0
insert,0,60,0
insert,0,148,0
insert,0,61,0
insert,0,59,0
insert,0,61,0
insert,0,64,0
insert,0,146,0
insert,0,80,0
insert,0,58,0
insert,0,82,0
insert,0,56,0
insert,0,56,0
insert,0,199,0
insert,0,58,0
insert,0,55,0
insert,0,56,0
insert,0,70,0
insert,0,51,0
insert,0,58,0
insert,0,128,0
insert,0,58,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,81,0
insert,0,82,0
insert,0,59,0
insert,0,124,0
insert,0,53,0
insert,0,59,0
insert,0,53,0
insert,0,52,0
insert,0,59,0
insert,0,57,0
insert,0,53,0
insert,0,59,0
insert,0,128,0
insert,0,60,0
insert,0,60,0
insert,0,61,0
insert,0,54,0
insert,0,55,0
insert,0,58,0
insert,0,54,0
insert,0,85,0
insert,0,53,0
insert,0,131,0
insert,0,59,0
insert,0,56,0
insert,0,56,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,56,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,125,0
insert,0,58,0
insert,0,58,0
insert,0,57,0
insert,0,54,0
insert,0,54,0
insert,0,54,0
insert,0,55,0
insert,0,58,0
insert,0,58,0
insert,0,55,0
insert,0,54,0
insert,0,161,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,56,0
insert,0,83,0
insert,0,59,0
insert,0,55,0
insert,0,58,0
insert,0,58,0
insert,0,84,0
insert,0,56,0
insert,0,139,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,58,0
insert,0,61,0
insert,0,58,0
insert,0,60,0
insert,0,53,0
insert,0,58,0
insert,0,74,0
insert,0,59,0
insert,0,60,0
insert,0,146,0
insert,0,71,0
insert,0,59,0
insert,0,53,0
insert,0,59,0
insert,0,59,0
insert,0,70,0
insert,0,56,0
insert,0,58,0
insert,0,59,0
insert,0,56,0
insert,0,57,0
insert,0,59,0
insert,0,83,0
insert,0,54,0
insert,0,141,0
insert,0,58,0
insert,0,57,0
insert,0,59,0
insert,0,82,0
insert,0,55,0
insert,0,53,0
insert,0,56,0
insert,0,54,0
insert,0,62,0
insert,0,58,0
insert,0,51,0
insert,0,58,0
insert,0,58,0
insert,0,58,0
insert,0,83,0
insert,0,146,0
insert,0,58,0
insert,0,59,0
insert,0,58,0
insert,0,58,0
insert,0,58,0
insert,0,54,0
insert,0,58,0
insert,0,59,0
insert,0,54,0
insert,0,58,0
insert,0,53,0
insert,0,59,0
insert,0,54,0
insert,0,54,0
insert,0,59,0
insert,0,56,0
insert,0,143,0
insert,0,58,0
insert,0,58,0
insert,0,58,0
insert,0,60,0
insert,0,70,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,58,0
insert,0,54,0
insert,0,56,0
insert,0,57,0
insert,0,59,0
insert,0,61,0
insert,0,59,0
insert,0,56,0
insert,0,143,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,58,0
insert,0,59,0
insert,0,60,0
insert,0,72,0
insert,0,49,0
insert,0,59,0
insert,0,56,0
insert,0,56,0
insert,0,59,0
insert,0,60,0
insert,0,58,0
insert,0,53,0
insert,0,83,0
insert,0,71,0
insert,0,68,0
insert,0,142,0
insert,0,59,0
insert,0,58,0
insert,0,58,0
insert,0,54,0
insert,0,54,0
insert,0,54,0
insert,0,53,0
insert,0,52,0
insert,0,52,0
insert,0,54,0
insert,0,53,0
insert,0,53,0
insert,0,54,0
insert,0,54,0
insert,0,56,0
insert,0,53,0
insert,0,55,0
insert,0,53,0
insert,0,60,0
insert,0,148,0
insert,0,58,0
insert,0,58,0
insert,0,61,0
insert,0,54,0
insert,0,53,0
insert,0,54,0
insert,0,56,0
insert,0,61,0
insert,0,71,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,81,0
insert,0,55,0
insert,0,56,0
insert,0,75,0
insert,0,61,0
insert,0,58,0
insert,0,53,0
insert,0,151,0
insert,0,59,0
insert,0,59,0
insert,0,59,0
insert,0,52,0
insert,0,53,0
insert,0,60,0
insert,0,55,0
insert,0,59,0
insert,0,59,0
insert,0,60,0
insert,0,61,0
insert,0,60,0
insert,0,59,0
insert,0,59,0
insert,0,57,0
insert,0,58,0
insert,0,54,0
insert,0,58,0
insert,0,56,0
insert,0,58,0
insert,0,60,0
insert,0,758,0
insert,0,84,0
insert,0,56,0
insert,0,54,0
insert,0,60,0
insert,0,59,0
insert,0,57,0
insert,0,57,0
insert,0,59,0
insert,0,57,0
insert,0,57,0
insert,0,59,0
insert,0,59,0
insert,0,58,0
insert,0,57,0
insert,0,56,0
