operation,load_factor,time,resize_count
insert,0,1256,1
insert,1,824,2
insert,1,611,3
insert,0.75,107,3
insert,1,624,4
insert,0.625,109,4
insert,0.75,97,4
insert,0.875,61,4
insert,1,620,5
insert,0.5625,61,5
insert,0.625,61,5
insert,0.6875,60,5
insert,0.75,62,5
insert,0.8125,61,5
insert,0.875,61,5
insert,0.9375,61,5
insert,1,802,6
insert,0.53125,62,6
insert,0.5625,61,6
insert,0.59375,54,6
insert,0.625,53,6
insert,0.65625,72,6
insert,0.6875,87,6
insert,0.71875,62,6
insert,0.75,62,6
insert,0.78125,52,6
insert,0.8125,61,6
insert,0.84375,54,6
insert,0.875,53,6
insert,0.90625,51,6
insert,0.9375,62,6
insert,0.96875,61,6
insert,1,25845,7
insert,0.515625,62,7
insert,0.53125,53,7
insert,0.546875,54,7
insert,0.5625,71,7
insert,0.578125,54,7
insert,0.59375,54,7
insert,0.609375,62,7
insert,0.625,55,7
insert,0.640625,61,7
insert,0.65625,62,7
insert,0.671875,62,7
insert,0.6875,62,7
insert,0.703125,53,7
insert,0.71875,61,7
insert,0.734375,52,7
insert,0.75,61,7
insert,0.765625,62,7
insert,0.78125,60,7
insert,0.796875,61,7
insert,0.8125,60,7
insert,0.828125,52,7
insert,0.84375,52,7
insert,0.859375,52,7
insert,0.875,89,7
insert,0.890625,61,7
insert,0.90625,61,7
insert,0.921875,53,7
insert,0.9375,62,7
insert,0.953125,62,7
insert,0.96875,61,7
insert,0.984375,51,7
insert,1,16054,8
insert,0.507812,52,8
insert,0.515625,52,8
insert,0.523438,53,8
insert,0.53125,54,8
insert,0.539062,53,8
insert,0.546875,52,8
insert,0.554688,52,8
insert,0.5625,70,8
insert,0.570312,77,8
insert,0.578125,52,8
insert,0.585938,61,8
insert,0.59375,61,8
insert,0.601562,54,8
insert,0.609375,61,8
insert,0.617188,61,8
insert,0.625,62,8
insert,0.632812,61,8
insert,0.640625,86,8
insert,0.648438,53,8
insert,0.65625,53,8
insert,0.664062,53,8
insert,0.671875,62,8
insert,0.679688,61,8
insert,0.6875,62,8
insert,0.695312,86,8
insert,0.703125,62,8
insert,0.710938,61,8
insert,0.71875,61,8
insert,0.726562,62,8
insert,0.734375,53,8
insert,0.742188,53,8
insert,0.75,60,8
insert,0.757812,61,8
insert,0.765625,60,8
insert,0.773438,62,8
insert,0.78125,61,8
insert,0.789062,53,8
insert,0.796875,61,8
insert,0.804688,53,8
insert,0.8125,52,8
insert,0.820312,61,8
insert,0.828125,61,8
insert,0.835938,61,8
insert,0.84375,61,8
insert,0.851562,61,8
insert,0.859375,52,8
insert,0.867188,53,8
insert,0.875,54,8
insert,0.882812,55,8
insert,0.890625,54,8
insert,0.898438,53,8
insert,0.90625,60,8
insert,0.914062,52,8
insert,0.921875,53,8
insert,0.929688,53,8
insert,0.9375,53,8
insert,0.945312,52,8
insert,0.953125,73,8
insert,0.960938,54,8
insert,0.96875,55,8
insert,0.976562,60,8
insert,0.984375,61,8
insert,0.992188,61,8
insert,1,17040,9
insert,0.503906,53,9
insert,0.507812,54,9
insert,0.511719,53,9
insert,0.515625,54,9
insert,0.519531,65,9
insert,0.523438,55,9
insert,0.527344,73,9
insert,0.53125,53,9
insert,0.535156,65,9
insert,0.539062,65,9
insert,0.542969,65,9
insert,0.546875,65,9
insert,0.550781,64,9
insert,0.554688,65,9
insert,0.558594,65,9
insert,0.5625,64,9
insert,0.566406,64,9
insert,0.570312,65,9
insert,0.574219,65,9
insert,0.578125,65,9
insert,0.582031,90,9
insert,0.585938,65,9
insert,0.589844,65,9
insert,0.59375,65,9
insert,0.597656,53,9
insert,0.601562,64,9
insert,0.605469,65,9
insert,0.609375,65,9
insert,0.613281,65,9
insert,0.617188,65,9
insert,0.621094,65,9
insert,0.625,65,9
insert,0.628906,53,9
insert,0.632812,54,9
insert,0.636719,74,9
insert,0.640625,64,9
insert,0.644531,65,9
insert,0.648438,90,9
insert,0.652344,53,9
insert,0.65625,64,9
insert,0.660156,65,9
insert,0.664062,65,9
insert,0.667969,64,9
insert,0.671875,64,9
insert,0.675781,65,9
insert,0.679688,65,9
insert,0.683594,65,9
insert,0.6875,65,9
insert,0.691406,51,9
insert,0.695312,52,9
insert,0.699219,53,9
insert,0.703125,64,9
insert,0.707031,52,9
insert,0.710938,64,9
insert,0.714844,65,9
insert,0.71875,53,9
insert,0.722656,65,9
insert,0.726562,65,9
insert,0.730469,64,9
insert,0.734375,53,9
insert,0.738281,54,9
insert,0.742188,65,9
insert,0.746094,54,9
insert,0.75,53,9
insert,0.753906,64,9
insert,0.757812,53,9
insert,0.761719,52,9
insert,0.765625,73,9
insert,0.769531,54,9
insert,0.773438,65,9
insert,0.777344,90,9
insert,0.78125,66,9
insert,0.785156,65,9
insert,0.789062,67,9
insert,0.792969,61,9
insert,0.796875,62,9
insert,0.800781,61,9
insert,0.804688,60,9
insert,0.808594,62,9
insert,0.8125,61,9
insert,0.816406,62,9
insert,0.820312,53,9
insert,0.824219,61,9
insert,0.828125,52,9
insert,0.832031,53,9
insert,0.835938,61,9
insert,0.839844,85,9
insert,0.84375,61,9
insert,0.847656,61,9
insert,0.851562,52,9
insert,0.855469,52,9
insert,0.859375,51,9
insert,0.863281,53,9
insert,0.867188,53,9
insert,0.871094,61,9
insert,0.875,84,9
insert,0.878906,54,9
insert,0.882812,52,9
insert,0.886719,54,9
insert,0.890625,84,9
insert,0.894531,62,9
insert,0.898438,54,9
insert,0.902344,85,9
insert,0.90625,62,9
insert,0.910156,61,9
insert,0.914062,53,9
insert,0.917969,51,9
insert,0.921875,85,9
insert,0.925781,60,9
insert,0.929688,61,9
insert,0.933594,62,9
insert,0.9375,61,9
insert,0.941406,61,9
insert,0.945312,53,9
insert,0.949219,51,9
insert,0.953125,69,9
insert,0.957031,61,9
insert,0.960938,61,9
insert,0.964844,53,9
insert,0.96875,83,9
insert,0.972656,61,9
insert,0.976562,54,9
insert,0.980469,61,9
insert,0.984375,54,9
insert,0.988281,54,9
insert,0.992188,61,9
insert,0.996094,53,9
insert,1,17455,10
insert,0.501953,54,10
insert,0.503906,56,10
insert,0.505859,55,10
insert,0.507812,62,10
insert,0.509766,61,10
insert,0.511719,87,10
insert,0.513672,89,10
insert,0.515625,60,10
insert,0.517578,61,10
insert,0.519531,62,10
insert,0.521484,61,10
insert,0.523438,61,10
insert,0.525391,61,10
insert,0.527344,61,10
insert,0.529297,61,10
insert,0.53125,62,10
insert,0.533203,86,10
insert,0.535156,61,10
insert,0.537109,62,10
insert,0.539062,62,10
insert,0.541016,61,10
insert,0.542969,61,10
insert,0.544922,61,10
insert,0.546875,62,10
insert,0.548828,61,10
insert,0.550781,60,10
insert,0.552734,61,10
insert,0.554688,62,10
insert,0.556641,61,10
insert,0.558594,61,10
insert,0.560547,62,10
insert,0.5625,62,10
insert,0.564453,62,10
insert,0.566406,62,10
insert,0.568359,60,10
insert,0.570312,61,10
insert,0.572266,61,10
insert,0.574219,85,10
insert,0.576172,61,10
insert,0.578125,61,10
insert,0.580078,61,10
insert,0.582031,61,10
insert,0.583984,60,10
insert,0.585938,64,10
insert,0.587891,64,10
insert,0.589844,61,10
insert,0.591797,61,10
insert,0.59375,62,10
insert,0.595703,61,10
insert,0.597656,61,10
insert,0.599609,61,10
insert,0.601562,61,10
insert,0.603516,60,10
insert,0.605469,62,10
insert,0.607422,61,10
insert,0.609375,61,10
insert,0.611328,84,10
insert,0.613281,61,10
insert,0.615234,88,10
insert,0.617188,86,10
insert,0.619141,62,10
insert,0.621094,62,10
insert,0.623047,61,10
insert,0.625,61,10
insert,0.626953,61,10
insert,0.628906,61,10
insert,0.630859,62,10
insert,0.632812,62,10
insert,0.634766,62,10
insert,0.636719,60,10
insert,0.638672,62,10
insert,0.640625,61,10
insert,0.642578,62,10
insert,0.644531,61,10
insert,0.646484,60,10
insert,0.648438,62,10
insert,0.650391,62,10
insert,0.652344,61,10
insert,0.654297,60,10
insert,0.65625,61,10
