operation,load_factor,time,resize_count
insert,0,3281,0
insert,9.99101e-05,388,0
insert,0.00019982,475,0
insert,0.00029973,512,0
insert,0.00039964,520,0
insert,0.00049955,367,0
insert,0.00059946,528,0
insert,0.000699371,458,0
insert,0.000799281,753,0
insert,0.000899191,366,0
insert,0.000999101,535,0
insert,0.00109901,490,0
insert,0.00119892,450,0
insert,0.00129883,408,0
insert,0.00139874,433,0
insert,0.00149865,386,0
insert,0.00159856,358,0
insert,0.00169847,464,0
insert,0.00179838,378,0
insert,0.00189829,325,0
insert,0.0019982,445,0
insert,0.00209811,463,0
insert,0.00219802,764,0
insert,0.00229793,372,0
insert,0.00239784,337,0
insert,0.00249775,368,0
insert,0.00259766,460,0
insert,0.00269757,389,0
insert,0.00279748,348,0
insert,0.00289739,366,0
insert,0.0029973,510,0
insert,0.00309721,682,0
insert,0.00319712,453,0
insert,0.00329703,577,0
insert,0.00339694,366,0
insert,0.00349685,377,0
insert,0.00359676,378,0
insert,0.00369667,343,0
insert,0.00379658,524,0
insert,0.00389649,331,0
insert,0.0039964,327,0
insert,0.00409631,358,0
insert,0.00419622,366,0
insert,0.00429613,387,0
insert,0.00439604,389,0
insert,0.00449595,371,0
insert,0.00459586,363,0
insert,0.00469577,491,0
insert,0.00479568,357,0
insert,0.00489559,329,0
insert,0.0049955,333,0
insert,0.00509541,333,0
insert,0.00519532,380,0
insert,0.00529523,412,0
insert,0.00539514,463,0
insert,0.00549505,394,0
insert,0.00559496,347,0
insert,0.00569487,328,0
insert,0.00579478,380,0
insert,0.00589469,436,0
insert,0.0059946,371,0
insert,0.00609451,468,0
insert,0.00619443,429,0
insert,0.00629434,437,0
insert,0.00639425,372,0
insert,0.00649416,350,0
insert,0.00659407,361,0
insert,0.00669398,368,0
insert,0.00679389,369,0
insert,0.0068938,354,0
insert,0.00699371,398,0
insert,0.00709362,380,0
insert,0.00719353,393,0
insert,0.00729344,352,0
insert,0.00739335,366,0
insert,0.00749326,350,0
insert,0.00759317,476,0
insert,0.00769308,438,0
insert,0.00779299,356,0
insert,0.0078929,466,0
insert,0.00799281,446,0
insert,0.00809272,395,0
insert,0.00819263,382,0
insert,0.00829254,390,0
insert,0.00839245,451,0
insert,0.00849236,375,0
insert,0.00859227,373,0
insert,0.00869218,395,0
insert,0.00879209,373,0
insert,0.008892,473,0
insert,0.00899191,344,0
insert,0.00909182,354,0
insert,0.00919173,379,0
insert,0.00929164,566,0
insert,0.00939155,485,0
insert,0.00949146,528,0
insert,0.00959137,595,0
insert,0.00969128,390,0
insert,0.00979119,511,0
insert,0.0098911,432,0
insert,0.00999101,556,0
insert,0.0100909,575,0
insert,0.0101908,596,0
insert,0.0102907,559,0
insert,0.0103906,546,0
insert,0.0104906,496,0
insert,0.0105905,493,0
insert,0.0106904,550,0
insert,0.0107903,505,0
insert,0.0108902,423,0
insert,0.0109901,434,0
insert,0.01109,466,0
insert,0.0111899,555,0
insert,0.0112898,474,0
insert,0.0113897,485,0
insert,0.0114897,523,0
insert,0.0115896,442,0
insert,0.0116895,528,0
insert,0.0117894,517,0
insert,0.0118893,538,0
insert,0.0119892,706,0
insert,0.0120891,549,0
insert,0.012189,438,0
insert,0.0122889,376,0
insert,0.0123889,484,0
insert,0.0124888,502,0
insert,0.0125887,502,0
insert,0.0126886,544,0
insert,0.0127885,440,0
insert,0.0128884,349,0
insert,0.0129883,371,0
insert,0.0130882,599,0
insert,0.0131881,476,0
insert,0.013288,393,0
insert,0.013388,389,0
insert,0.0134879,432,0
insert,0.0135878,455,0
insert,0.0136877,427,0
insert,0.0137876,440,0
insert,0.0138875,346,0
insert,0.0139874,353,0
insert,0.0140873,446,0
insert,0.0141872,379,0
insert,0.0142871,402,0
insert,0.0143871,347,0
insert,0.014487,383,0
insert,0.0145869,377,0
insert,0.0146868,371,0
insert,0.0147867,349,0
insert,0.0148866,344,0
insert,0.0149865,775,0
insert,0.0150864,429,0
insert,0.0151863,419,0
insert,0.0152862,506,0
insert,0.0153862,334,0
insert,0.0154861,490,0
insert,0.015586,378,0
insert,0.0156859,352,0
insert,0.0157858,366,0
insert,0.0158857,365,0
insert,0.0159856,377,0
insert,0.0160855,416,0
insert,0.0161854,346,0
insert,0.0162853,443,0
insert,0.0163853,531,0
insert,0.0164852,434,0
insert,0.0165851,414,0
insert,0.016685,442,0
insert,0.0167849,373,0
insert,0.0168848,385,0
insert,0.0169847,487,0
insert,0.0170846,454,0
insert,0.0171845,336,0
insert,0.0172844,431,0
insert,0.0173844,564,0
insert,0.0174843,425,0
insert,0.0175842,423,0
insert,0.0176841,392,0
insert,0.017784,393,0
insert,0.0178839,507,0
insert,0.0179838,367,0
insert,0.0180837,338,0
insert,0.0181836,388,0
insert,0.0182835,643,0
insert,0.0183835,2432,0
insert,0.0184834,558,0
insert,0.0185833,447,0
insert,0.0186832,767,0
insert,0.0187831,345,0
insert,0.018883,527,0
insert,0.0189829,539,0
insert,0.0190828,464,0
insert,0.0191827,350,0
insert,0.0192826,449,0
insert,0.0193826,429,0
insert,0.0194825,406,0
insert,0.0195824,328,0
insert,0.0196823,330,0
insert,0.0197822,365,0
insert,0.0198821,415,0
insert,0.019982,474,0
insert,0.0200819,399,0
insert,0.0201818,748,0
insert,0.0202817,379,0
insert,0.0203817,424,0
insert,0.0204816,370,0
insert,0.0205815,358,0
insert,0.0206814,360,0
insert,0.0207813,407,0
insert,0.0208812,440,0
insert,0.0209811,417,0
insert,0.021081,383,0
insert,0.0211809,346,0
insert,0.0212808,450,0
insert,0.0213808,343,0
insert,0.0214807,346,0
insert,0.0215806,440,0
insert,0.0216805,367,0
insert,0.0217804,436,0
insert,0.0218803,412,0
insert,0.0219802,492,0
insert,0.0220801,368,0
insert,0.02218,399,0
insert,0.0222799,666,0
insert,0.0223799,454,0
insert,0.0224798,526,0
insert,0.0225797,425,0
insert,0.0226796,477,0
insert,0.0227795,348,0
insert,0.0228794,895,0
insert,0.0229793,504,0
insert,0.0230792,488,0
insert,0.0231791,351,0
insert,0.023279,382,0
insert,0.023379,470,0
insert,0.0234789,359,0
insert,0.0235788,346,0
insert,0.0236787,458,0
insert,0.0237786,409,0
insert,0.0238785,361,0
insert,0.0239784,404,0
insert,0.0240783,330,0
insert,0.0241782,564,0
insert,0.0242781,390,0
insert,0.0243781,391,0
insert,0.024478,560,0
insert,0.0245779,433,0
insert,0.0246778,494,0
insert,0.0247777,377,0
insert,0.0248776,349,0
insert,0.0249775,468,0
insert,0.0250774,370,0
insert,0.0251773,324,0
insert,0.0252773,361,0
insert,0.0253772,433,0
insert,0.0254771,574,0
insert,0.025577,429,0
insert,0.0256769,680,0
insert,0.0257768,369,0
insert,0.0258767,423,0
insert,0.0259766,544,0
insert,0.0260765,595,0
insert,0.0261764,517,0
insert,0.0262764,435,0
insert,0.0263763,338,0
insert,0.0264762,351,0
insert,0.0265761,366,0
insert,0.026676,487,0
insert,0.0267759,360,0
insert,0.0268758,406,0
insert,0.0269757,341,0
insert,0.0270756,504,0
insert,0.0271755,399,0
insert,0.0272755,408,0
insert,0.0273754,451,0
insert,0.0274753,344,0
insert,0.0275752,354,0
insert,0.0276751,408,0
insert,0.027775,407,0
insert,0.0278749,374,0
insert,0.0279748,363,0
insert,0.0280747,382,0
insert,0.0281746,329,0
insert,0.0282746,570,0
insert,0.0283745,332,0
insert,0.0284744,428,0
insert,0.0285743,341,0
insert,0.0286742,450,0
insert,0.0287741,518,0
insert,0.028874,521,0
insert,0.0289739,345,0
insert,0.0290738,356,0
insert,0.0291737,437,0
insert,0.0292737,369,0
insert,0.0293736,720,0
insert,0.0294735,341,0
insert,0.0295734,402,0
insert,0.0296733,365,0
insert,0.0297732,361,0
