operation,load_factor,time,resize_count
insert,0,2932,0
insert,9.99101e-05,571,0
insert,0.00019982,413,0
insert,0.00029973,952,0
insert,0.00039964,416,0
insert,0.00049955,476,0
insert,0.00059946,429,0
insert,0.000699371,491,0
insert,0.000799281,412,0
insert,0.000899191,452,0
insert,0.000999101,383,0
insert,0.00109901,511,0
insert,0.00119892,3868,0
insert,0.00129883,454,0
insert,0.00139874,312,0
insert,0.00149865,388,0
insert,0.00159856,417,0
insert,0.00169847,404,0
insert,0.00179838,377,0
insert,0.00189829,328,0
insert,0.0019982,384,0
insert,0.00209811,320,0
insert,0.00219802,312,0
insert,0.00229793,341,0
insert,0.00239784,348,0
insert,0.00249775,360,0
insert,0.00259766,395,0
insert,0.00269757,380,0
insert,0.00279748,356,0
insert,0.00289739,331,0
insert,0.0029973,330,0
insert,0.00309721,400,0
insert,0.00319712,357,0
insert,0.00329703,404,0
insert,0.00339694,667,0
insert,0.00349685,428,0
insert,0.00359676,411,0
insert,0.00369667,458,0
insert,0.00379658,375,0
insert,0.00389649,371,0
insert,0.0039964,319,0
insert,0.00409631,336,0
insert,0.00419622,335,0
insert,0.00429613,389,0
insert,0.00439604,350,0
insert,0.00449595,524,0
insert,0.00459586,338,0
insert,0.00469577,337,0
insert,0.00479568,474,0
insert,0.00489559,328,0
insert,0.0049955,340,0
insert,0.00509541,345,0
insert,0.00519532,521,0
insert,0.00529523,409,0
insert,0.00539514,324,0
insert,0.00549505,312,0
insert,0.00559496,435,0
insert,0.00569487,355,0
insert,0.00579478,372,0
insert,0.00589469,416,0
insert,0.0059946,355,0
insert,0.00609451,384,0
insert,0.00619443,311,0
insert,0.00629434,345,0
insert,0.00639425,348,0
insert,0.00649416,365,0
insert,0.00659407,351,0
insert,0.00669398,477,0
insert,0.00679389,438,0
insert,0.0068938,344,0
insert,0.00699371,350,0
insert,0.00709362,371,0
insert,0.00719353,387,0
insert,0.00729344,332,0
insert,0.00739335,426,0
insert,0.00749326,345,0
insert,0.00759317,350,0
insert,0.00769308,339,0
insert,0.00779299,346,0
insert,0.0078929,345,0
insert,0.00799281,363,0
insert,0.00809272,424,0
insert,0.00819263,364,0
insert,0.00829254,351,0
insert,0.00839245,333,0
insert,0.00849236,357,0
insert,0.00859227,338,0
insert,0.00869218,377,0
insert,0.00879209,345,0
insert,0.008892,392,0
insert,0.00899191,429,0
insert,0.00909182,368,0
insert,0.00919173,343,0
insert,0.00929164,380,0
insert,0.00939155,346,0
insert,0.00949146,363,0
insert,0.00959137,351,0
insert,0.00969128,430,0
insert,0.00979119,369,0
insert,0.0098911,316,0
insert,0.00999101,354,0
insert,0.0100909,399,0
insert,0.0101908,540,0
insert,0.0102907,352,0
insert,0.0103906,331,0
insert,0.0104906,359,0
insert,0.0105905,371,0
insert,0.0106904,336,0
insert,0.0107903,334,0
insert,0.0108902,334,0
insert,0.0109901,373,0
insert,0.01109,315,0
insert,0.0111899,331,0
insert,0.0112898,355,0
insert,0.0113897,340,0
insert,0.0114897,350,0
insert,0.0115896,409,0
insert,0.0116895,350,0
insert,0.0117894,389,0
insert,0.0118893,321,0
insert,0.0119892,320,0
insert,0.0120891,402,0
insert,0.012189,322,0
insert,0.0122889,354,0
insert,0.0123889,342,0
insert,0.0124888,349,0
insert,0.0125887,473,0
insert,0.0126886,353,0
insert,0.0127885,330,0
insert,0.0128884,353,0
insert,0.0129883,322,0
insert,0.0130882,352,0
insert,0.0131881,341,0
insert,0.013288,356,0
insert,0.013388,417,0
insert,0.0134879,341,0
insert,0.0135878,421,0
insert,0.0136877,394,0
insert,0.0137876,385,0
insert,0.0138875,417,0
insert,0.0139874,407,0
insert,0.0140873,341,0
insert,0.0141872,413,0
insert,0.0142871,349,0
insert,0.0143871,456,0
insert,0.014487,345,0
insert,0.0145869,335,0
insert,0.0146868,337,0
insert,0.0147867,355,0
insert,0.0148866,486,0
insert,0.0149865,365,0
insert,0.0150864,395,0
insert,0.0151863,353,0
insert,0.0152862,323,0
insert,0.0153862,452,0
insert,0.0154861,329,0
insert,0.015586,333,0
insert,0.0156859,435,0
insert,0.0157858,378,0
insert,0.0158857,316,0
insert,0.0159856,335,0
insert,0.0160855,337,0
insert,0.0161854,330,0
insert,0.0162853,473,0
insert,0.0163853,404,0
insert,0.0164852,362,0
insert,0.0165851,358,0
insert,0.016685,327,0
insert,0.0167849,334,0
insert,0.0168848,316,0
insert,0.0169847,6211,0
insert,0.0170846,360,0
insert,0.0171845,440,0
insert,0.0172844,375,0
insert,0.0173844,341,0
insert,0.0174843,422,0
insert,0.0175842,348,0
insert,0.0176841,378,0
insert,0.017784,475,0
insert,0.0178839,416,0
insert,0.0179838,383,0
insert,0.0180837,438,0
insert,0.0181836,338,0
insert,0.0182835,360,0
insert,0.0183835,350,0
insert,0.0184834,334,0
insert,0.0185833,402,0
insert,0.0186832,342,0
insert,0.0187831,320,0
insert,0.018883,317,0
insert,0.0189829,417,0
insert,0.0190828,375,0
insert,0.0191827,321,0
insert,0.0192826,315,0
insert,0.0193826,493,0
insert,0.0194825,483,0
insert,0.0195824,428,0
insert,0.0196823,341,0
insert,0.0197822,436,0
insert,0.0198821,425,0
insert,0.019982,572,0
insert,0.0200819,382,0
insert,0.0201818,332,0
insert,0.0202817,376,0
insert,0.0203817,349,0
insert,0.0204816,332,0
insert,0.0205815,428,0
insert,0.0206814,355,0
insert,0.0207813,323,0
insert,0.0208812,334,0
insert,0.0209811,334,0
insert,0.021081,339,0
insert,0.0211809,368,0
insert,0.0212808,447,0
insert,0.0213808,359,0
insert,0.0214807,407,0
insert,0.0215806,320,0
insert,0.0216805,344,0
insert,0.0217804,409,0
insert,0.0218803,391,0
insert,0.0219802,365,0
insert,0.0220801,385,0
insert,0.02218,395,0
insert,0.0222799,448,0
insert,0.0223799,367,0
insert,0.0224798,371,0
insert,0.0225797,337,0
insert,0.0226796,343,0
insert,0.0227795,346,0
insert,0.0228794,346,0
insert,0.0229793,335,0
insert,0.0230792,418,0
insert,0.0231791,329,0
insert,0.023279,783,0
insert,0.023379,419,0
insert,0.0234789,424,0
insert,0.0235788,475,0
insert,0.0236787,383,0
insert,0.0237786,409,0
insert,0.0238785,420,0
insert,0.0239784,361,0
insert,0.0240783,594,0
insert,0.0241782,363,0
insert,0.0242781,341,0
insert,0.0243781,409,0
insert,0.024478,417,0
insert,0.0245779,424,0
insert,0.0246778,363,0
insert,0.0247777,346,0
insert,0.0248776,323,0
insert,0.0249775,326,0
insert,0.0250774,323,0
insert,0.0251773,392,0
insert,0.0252773,358,0
insert,0.0253772,420,0
insert,0.0254771,330,0
insert,0.025577,339,0
insert,0.0256769,371,0
insert,0.0257768,420,0
insert,0.0258767,363,0
insert,0.0259766,454,0
insert,0.0260765,394,0
insert,0.0261764,364,0
insert,0.0262764,501,0
insert,0.0263763,356,0
insert,0.0264762,371,0
insert,0.0265761,408,0
insert,0.026676,368,0
insert,0.0267759,315,0
insert,0.0268758,328,0
insert,0.0269757,339,0
insert,0.0270756,442,0
insert,0.0271755,437,0
insert,0.0272755,530,0
insert,0.0273754,350,0
insert,0.0274753,451,0
insert,0.0275752,395,0
insert,0.0276751,450,0
insert,0.027775,404,0
insert,0.0278749,412,0
insert,0.0279748,485,0
insert,0.0280747,342,0
insert,0.0281746,342,0
insert,0.0282746,344,0
insert,0.0283745,393,0
insert,0.0284744,353,0
insert,0.0285743,363,0
insert,0.0286742,341,0
insert,0.0287741,338,0
insert,0.028874,391,0
insert,0.0289739,396,0
insert,0.0290738,430,0
insert,0.0291737,354,0
insert,0.0292737,360,0
insert,0.0293736,408,0
insert,0.0294735,344,0
insert,0.0295734,375,0
insert,0.0296733,364,0
insert,0.0297732,429,0
insert,0.0298731,677,0
insert,0.029973,413,0
insert,0.0300729,587,0
insert,0.0301728,345,0
insert,0.0302728,413,0
insert,0.0303727,380,0
insert,0.0304726,663,0
insert,0.0305725,382,0
insert,0.0306724,476,0
insert,0.0307723,526,0
insert,0.0308722,391,0
insert,0.0309721,426,0
insert,0.031072,399,0
insert,0.0311719,387,0
insert,0.0312719,418,0
insert,0.0313718,883,0
insert,0.0314717,402,0
insert,0.0315716,429,0
insert,0.0316715,325,0
insert,0.0317714,423,0
insert,0.0318713,355,0
insert,0.0319712,408,0
insert,0.0320711,391,0
insert,0.032171,347,0
insert,0.032271,444,0
insert,0.0323709,384,0
insert,0.0324708,420,0
insert,0.0325707,354,0
insert,0.0326706,359,0
insert,0.0327705,345,0
insert,0.0328704,336,0
insert,0.0329703,357,0
insert,0.0330702,493,0
insert,0.0331701,450,0
insert,0.0332701,331,0
insert,0.03337,377,0
insert,0.0334699,529,0
insert,0.0335698,401,0
insert,0.0336697,449,0
insert,0.0337696,351,0
insert,0.0338695,465,0
insert,0.0339694,2762,0
insert,0.0340693,350,0
insert,0.0341692,383,0
insert,0.0342692,378,0
insert,0.0343691,370,0
insert,0.034469,573,0
insert,0.0345689,469,0
insert,0.0346688,514,0
insert,0.0347687,424,0
insert,0.0348686,333,0
insert,0.0349685,359,0
insert,0.0350684,413,0
insert,0.0351683,366,0
insert,0.0352683,363,0
insert,0.0353682,526,0
insert,0.0354681,354,0
insert,0.035568,550,0
insert,0.0356679,424,0
insert,0.0357678,477,0
insert,0.0358677,329,0
insert,0.0359676,409,0
insert,0.0360675,339,0
insert,0.0361674,332,0
insert,0.0362674,364,0
insert,0.0363673,367,0
insert,0.0364672,405,0
insert,0.0365671,513,0
insert,0.036667,435,0
insert,0.0367669,359,0
insert,0.0368668,340,0
insert,0.0369667,359,0
insert,0.0370666,366,0
insert,0.0371666,356,0
insert,0.0372665,439,0
insert,0.0373664,365,0
insert,0.0374663,364,0
insert,0.0375662,453,0
insert,0.0376661,416,0
insert,0.037766,347,0
insert,0.0378659,438,0
insert,0.0379658,313,0
insert,0.0380657,329,0
insert,0.0381657,318,0
insert,0.0382656,423,0
insert,0.0383655,412,0
insert,0.0384654,363,0
insert,0.0385653,344,0
insert,0.0386652,370,0
insert,0.0387651,338,0
insert,0.038865,309,0
insert,0.0389649,390,0
insert,0.0390648,362,0
insert,0.0391648,373,0
insert,0.0392647,333,0
insert,0.0393646,336,0
insert,0.0394645,338,0
insert,0.0395644,343,0
insert,0.0396643,349,0
insert,0.0397642,388,0
insert,0.0398641,391,0
insert,0.039964,329,0
insert,0.0400639,336,0
insert,0.0401639,338,0
insert,0.0402638,360,0
insert,0.0403637,540,0
insert,0.0404636,417,0
insert,0.0405635,508,0
insert,0.0406634,320,0
insert,0.0407633,328,0
insert,0.0408632,335,0
insert,0.0409631,334,0
insert,0.041063,317,0
insert,0.041163,379,0
insert,0.0412629,320,0
insert,0.0413628,379,0
insert,0.0414627,387,0
insert,0.0415626,341,0
insert,0.0416625,432,0
insert,0.0417624,442,0
insert,0.0418623,335,0
insert,0.0419622,401,0
insert,0.0420621,392,0
