operation,load_factor,time,resize_count
insert,0,4300,0
insert,9.99101e-05,3000,0
insert,0.00019982,2700,0
insert,0.00029973,2700,0
insert,0.00039964,3100,0
insert,0.00049955,2700,0
insert,0.00059946,2600,0
insert,0.000699371,2600,0
insert,0.000799281,2700,0
insert,0.000899191,2600,0
insert,0.000999101,2600,0
insert,0.00109901,2500,0
insert,0.00119892,2600,0
insert,0.00129883,2700,0
insert,0.00139874,2500,0
insert,0.00149865,2700,0
insert,0.00159856,2500,0
insert,0.00169847,2500,0
insert,0.00179838,2400,0
insert,0.00189829,2600,0
insert,0.0019982,2500,0
insert,0.00209811,2800,0
insert,0.00219802,11900,0
insert,0.00229793,2800,0
insert,0.00239784,2500,0
insert,0.00249775,2400,0
insert,0.00259766,2300,0
insert,0.00269757,2100,0
insert,0.00279748,2500,0
insert,0.00289739,2300,0
insert,0.0029973,2200,0
insert,0.00309721,2300,0
insert,0.00319712,2500,0
insert,0.00329703,2300,0
insert,0.00339694,2200,0
insert,0.00349685,2200,0
insert,0.00359676,2200,0
insert,0.00369667,2200,0
insert,0.00379658,2500,0
insert,0.00389649,2300,0
insert,0.0039964,2100,0
insert,0.00409631,2400,0
insert,0.00419622,2100,0
insert,0.00429613,2200,0
insert,0.00439604,2300,0
insert,0.00449595,2100,0
insert,0.00459586,2300,0
insert,0.00469577,2200,0
insert,0.00479568,2000,0
insert,0.00489559,2200,0
insert,0.0049955,2100,0
insert,0.00509541,2100,0
insert,0.00519532,2200,0
insert,0.00529523,2400,0
insert,0.00539514,2200,0
insert,0.00549505,2100,0
insert,0.00559496,2400,0
insert,0.00569487,3100,0
insert,0.00579478,3200,0
insert,0.00589469,2300,0
insert,0.0059946,2200,0
insert,0.00609451,2300,0
insert,0.00619443,2500,0
insert,0.00629434,2100,0
insert,0.00639425,2100,0
insert,0.00649416,2100,0
insert,0.00659407,2200,0
insert,0.00669398,2200,0
insert,0.00679389,2200,0
insert,0.0068938,2000,0
insert,0.00699371,2300,0
insert,0.00709362,2200,0
insert,0.00719353,2200,0
insert,0.00729344,2200,0
insert,0.00739335,2100,0
insert,0.00749326,2100,0
insert,0.00759317,2100,0
insert,0.00769308,2100,0
insert,0.00779299,2400,0
insert,0.0078929,2000,0
insert,0.00799281,2100,0
insert,0.00809272,2200,0
insert,0.00819263,2100,0
insert,0.00829254,2100,0
insert,0.00839245,2200,0
insert,0.00849236,2100,0
insert,0.00859227,2200,0
insert,0.00869218,2500,0
insert,0.00879209,2000,0
insert,0.008892,2100,0
insert,0.00899191,2100,0
insert,0.00909182,2300,0
insert,0.00919173,2100,0
insert,0.00929164,2300,0
insert,0.00939155,2100,0
insert,0.00949146,2200,0
insert,0.00959137,2100,0
insert,0.00969128,2100,0
insert,0.00979119,2200,0
insert,0.0098911,2000,0
insert,0.00999101,2200,0
insert,0.0100909,2200,0
insert,0.0101908,2200,0
insert,0.0102907,2300,0
insert,0.0103906,2100,0
insert,0.0104906,2100,0
insert,0.0105905,2400,0
insert,0.0106904,2100,0
insert,0.0107903,2000,0
insert,0.0108902,2000,0
insert,0.0109901,2200,0
