operation,load_factor,time,resize_count
insert,0,8600,0
insert,9.99101e-05,600,0
insert,0.00019982,600,0
insert,0.00029973,400,0
insert,0.00039964,500,0
insert,0.00049955,500,0
insert,0.00059946,600,0
insert,0.000699371,700,0
insert,0.000799281,800,0
insert,0.000899191,600,0
insert,0.000999101,500,0
insert,0.00109901,500,0
insert,0.00119892,500,0
insert,0.00129883,600,0
insert,0.00139874,600,0
insert,0.00149865,500,0
insert,0.00159856,500,0
insert,0.00169847,500,0
insert,0.00179838,500,0
insert,0.00189829,500,0
insert,0.0019982,500,0
insert,0.00209811,500,0
insert,0.00219802,1000,0
insert,0.00229793,600,0
insert,0.00239784,500,0
insert,0.00249775,400,0
insert,0.00259766,400,0
insert,0.00269757,400,0
insert,0.00279748,400,0
insert,0.00289739,400,0
insert,0.0029973,500,0
insert,0.00309721,400,0
insert,0.00319712,400,0
insert,0.00329703,400,0
insert,0.00339694,400,0
insert,0.00349685,400,0
insert,0.00359676,400,0
insert,0.00369667,400,0
insert,0.00379658,500,0
insert,0.00389649,400,0
insert,0.0039964,400,0
insert,0.00409631,500,0
insert,0.00419622,400,0
insert,0.00429613,400,0
insert,0.00439604,400,0
insert,0.00449595,400,0
insert,0.00459586,400,0
insert,0.00469577,400,0
insert,0.00479568,400,0
insert,0.00489559,400,0
insert,0.0049955,400,0
insert,0.00509541,500,0
insert,0.00519532,400,0
insert,0.00529523,400,0
insert,0.00539514,400,0
insert,0.00549505,400,0
insert,0.00559496,400,0
insert,0.00569487,500,0
insert,0.00579478,400,0
insert,0.00589469,400,0
insert,0.0059946,600,0
insert,0.00609451,400,0
insert,0.00619443,400,0
insert,0.00629434,400,0
insert,0.00639425,400,0
insert,0.00649416,400,0
insert,0.00659407,400,0
insert,0.00669398,400,0
insert,0.00679389,400,0
insert,0.0068938,400,0
insert,0.00699371,400,0
insert,0.00709362,400,0
insert,0.00719353,400,0
insert,0.00729344,500,0
insert,0.00739335,500,0
insert,0.00749326,500,0
insert,0.00759317,400,0
insert,0.00769308,400,0
insert,0.00779299,400,0
insert,0.0078929,400,0
insert,0.00799281,400,0
insert,0.00809272,400,0
insert,0.00819263,400,0
insert,0.00829254,300,0
insert,0.00839245,400,0
insert,0.00849236,400,0
insert,0.00859227,400,0
insert,0.00869218,600,0
insert,0.00879209,400,0
insert,0.008892,400,0
insert,0.00899191,400,0
insert,0.00909182,400,0
insert,0.00919173,400,0
insert,0.00929164,400,0
insert,0.00939155,500,0
insert,0.00949146,500,0
insert,0.00959137,400,0
insert,0.00969128,500,0
insert,0.00979119,400,0
insert,0.0098911,400,0
insert,0.00999101,400,0
insert,0.0100909,400,0
insert,0.0101908,400,0
insert,0.0102907,400,0
insert,0.0103906,400,0
insert,0.0104906,400,0
insert,0.0105905,400,0
insert,0.0106904,400,0
insert,0.0107903,400,0
insert,0.0108902,400,0
insert,0.0109901,400,0
insert,0.01109,500,0
insert,0.0111899,400,0
insert,0.0112898,400,0
insert,0.0113897,400,0
insert,0.0114897,400,0
insert,0.0115896,500,0
insert,0.0116895,400,0
insert,0.0117894,500,0
insert,0.0118893,500,0
insert,0.0119892,400,0
insert,0.0120891,400,0
insert,0.012189,400,0
insert,0.0122889,400,0
insert,0.0123889,400,0
insert,0.0124888,700,0
insert,0.0125887,400,0
insert,0.0126886,400,0
insert,0.0127885,400,0
insert,0.0128884,400,0
insert,0.0129883,500,0
insert,0.0130882,400,0
insert,0.0131881,400,0
insert,0.013288,400,0
insert,0.013388,400,0
insert,0.0134879,400,0
insert,0.0135878,400,0
insert,0.0136877,400,0
insert,0.0137876,400,0
insert,0.0138875,400,0
insert,0.0139874,400,0
insert,0.0140873,400,0
insert,0.0141872,400,0
insert,0.0142871,500,0
insert,0.0143871,500,0
insert,0.014487,400,0
insert,0.0145869,400,0
insert,0.0146868,400,0
insert,0.0147867,400,0
insert,0.0148866,400,0
insert,0.0149865,400,0
insert,0.0150864,400,0
insert,0.0151863,400,0
insert,0.0152862,400,0
insert,0.0153862,400,0
insert,0.0154861,400,0
insert,0.015586,400,0
insert,0.0156859,400,0
insert,0.0157858,500,0
insert,0.0158857,400,0
insert,0.0159856,400,0
insert,0.0160855,400,0
insert,0.0161854,700,0
insert,0.0162853,400,0
insert,0.0163853,400,0
insert,0.0164852,400,0
insert,0.0165851,600,0
insert,0.016685,500,0
insert,0.0167849,500,0
insert,0.0168848,500,0
insert,0.0169847,500,0
insert,0.0170846,400,0
insert,0.0171845,400,0
insert,0.0172844,400,0
insert,0.0173844,400,0
insert,0.0174843,400,0
insert,0.0175842,400,0
insert,0.0176841,400,0
insert,0.017784,400,0
insert,0.0178839,400,0
insert,0.0179838,400,0
insert,0.0180837,400,0
insert,0.0181836,400,0
insert,0.0182835,500,0
insert,0.0183835,300,0
insert,0.0184834,400,0
insert,0.0185833,400,0
insert,0.0186832,500,0
insert,0.0187831,400,0
insert,0.018883,400,0
insert,0.0189829,400,0
insert,0.0190828,400,0
insert,0.0191827,500,0
insert,0.0192826,400,0
insert,0.0193826,600,0
insert,0.0194825,400,0
insert,0.0195824,400,0
insert,0.0196823,400,0
insert,0.0197822,500,0
insert,0.0198821,500,0
insert,0.019982,400,0
insert,0.0200819,400,0
insert,0.0201818,500,0
insert,0.0202817,400,0
insert,0.0203817,400,0
insert,0.0204816,400,0
insert,0.0205815,400,0
insert,0.0206814,400,0
insert,0.0207813,300,0
insert,0.0208812,400,0
insert,0.0209811,400,0
insert,0.021081,400,0
insert,0.0211809,400,0
insert,0.0212808,300,0
insert,0.0213808,300,0
insert,0.0214807,400,0
insert,0.0215806,400,0
insert,0.0216805,300,0
insert,0.0217804,400,0
insert,0.0218803,300,0
insert,0.0219802,400,0
insert,0.0220801,400,0
insert,0.02218,400,0
insert,0.0222799,400,0
insert,0.0223799,300,0
insert,0.0224798,400,0
insert,0.0225797,300,0
insert,0.0226796,400,0
insert,0.0227795,400,0
insert,0.0228794,400,0
insert,0.0229793,400,0
insert,0.0230792,400,0
insert,0.0231791,400,0
insert,0.023279,400,0
insert,0.023379,600,0
insert,0.0234789,400,0
insert,0.0235788,400,0
insert,0.0236787,400,0
insert,0.0237786,400,0
insert,0.0238785,400,0
insert,0.0239784,400,0
insert,0.0240783,400,0
insert,0.0241782,400,0
insert,0.0242781,400,0
insert,0.0243781,400,0
insert,0.024478,400,0
insert,0.0245779,400,0
insert,0.0246778,400,0
insert,0.0247777,400,0
insert,0.0248776,500,0
insert,0.0249775,400,0
insert,0.0250774,400,0
insert,0.0251773,400,0
insert,0.0252773,400,0
insert,0.0253772,400,0
insert,0.0254771,400,0
insert,0.025577,400,0
insert,0.0256769,400,0
insert,0.0257768,400,0
