Operation, Load Factor, Time, Resize Count
insert,0,600,0
insert,9.99101e-05,400,0
insert,0.00019982,300,0
insert,0.00029973,200,0
insert,0.00039964,300,0
insert,0.00049955,300,0
insert,0.00059946,300,0
insert,0.000699371,200,0
insert,0.000799281,200,0
insert,0.000899191,300,0
insert,0.000999101,200,0
insert,0.00109901,200,0
insert,0.00119892,200,0
insert,0.00129883,200,0
insert,0.00139874,200,0
insert,0.00149865,200,0
insert,0.00159856,300,0
insert,0.00169847,300,0
insert,0.00179838,200,0
insert,0.00189829,200,0
insert,0.0019982,200,0
insert,0.00209811,300,0
insert,0.00219802,400,0
insert,0.00229793,300,0
insert,0.00239784,200,0
insert,0.00249775,200,0
insert,0.00259766,200,0
insert,0.00269757,200,0
insert,0.00279748,200,0
insert,0.00289739,300,0
insert,0.0029973,200,0
insert,0.00309721,200,0
insert,0.00319712,200,0
insert,0.00329703,200,0
insert,0.00339694,300,0
insert,0.00349685,100,0
insert,0.00359676,300,0
insert,0.00369667,100,0
insert,0.00379658,200,0
insert,0.00389649,200,0
insert,0.0039964,200,0
insert,0.00409631,200,0
insert,0.00419622,200,0
insert,0.00429613,100,0
insert,0.00439604,300,0
insert,0.00449595,100,0
insert,0.00459586,200,0
insert,0.00469577,200,0
insert,0.00479568,200,0
insert,0.00489559,200,0
insert,0.0049955,200,0
insert,0.00509541,100,0
insert,0.00519532,200,0
insert,0.00529523,200,0
insert,0.00539514,200,0
insert,0.00549505,100,0
insert,0.00559496,200,0
insert,0.00569487,100,0
insert,0.00579478,200,0
insert,0.00589469,300,0
insert,0.0059946,200,0
insert,0.00609451,200,0
insert,0.00619443,100,0
insert,0.00629434,200,0
insert,0.00639425,100,0
insert,0.00649416,200,0
insert,0.00659407,200,0
insert,0.00669398,200,0
insert,0.00679389,100,0
insert,0.0068938,200,0
insert,0.00699371,200,0
insert,0.00709362,200,0
insert,0.00719353,200,0
insert,0.00729344,200,0
insert,0.00739335,100,0
insert,0.00749326,200,0
insert,0.00759317,200,0
insert,0.00769308,200,0
insert,0.00779299,200,0
insert,0.0078929,200,0
insert,0.00799281,100,0
insert,0.00809272,200,0
insert,0.00819263,200,0
