operation,load_factor,time,resize_count
insert,0,2900,1
insert,1,3100,2
insert,1,1900,3
insert,1,2500,4
insert,1,52000,5
insert,0.833333,600,5
insert,1,2200,6
insert,0.777778,500,6
insert,0.888889,600,6
insert,1,2100,7
insert,0.769231,500,7
insert,0.846154,500,7
insert,0.923077,400,7
insert,1,2600,8
insert,0.736842,500,8
insert,0.789474,500,8
insert,0.842105,500,8
insert,0.894737,500,8
insert,0.947368,500,8
insert,1,2500,9
insert,0.714286,500,9
insert,0.75,500,9
insert,0.785714,500,9
insert,0.821429,500,9
insert,0.857143,400,9
insert,0.892857,500,9
insert,0.928571,500,9
insert,0.964286,2300,9
insert,1,7800,10
insert,0.690476,1000,10
insert,0.714286,300,10
insert,0.738095,300,10
insert,0.761905,300,10
insert,0.785714,300,10
insert,0.809524,300,10
insert,0.833333,300,10
insert,0.857143,200,10
insert,0.880952,300,10
insert,0.904762,300,10
insert,0.928571,300,10
insert,0.952381,300,10
insert,0.97619,300,10
insert,1,2300,11
insert,0.68254,300,11
insert,0.698413,300,11
insert,0.714286,300,11
insert,0.730159,200,11
insert,0.746032,300,11
insert,0.761905,300,11
insert,0.777778,200,11
insert,0.793651,300,11
insert,0.809524,300,11
insert,0.825397,300,11
insert,0.84127,300,11
insert,0.857143,200,11
insert,0.873016,300,11
insert,0.888889,200,11
insert,0.904762,300,11
insert,0.920635,300,11
insert,0.936508,300,11
insert,0.952381,300,11
insert,0.968254,300,11
insert,0.984127,200,11
insert,1,1900,12
insert,0.680851,300,12
insert,0.691489,200,12
insert,0.702128,200,12
insert,0.712766,200,12
insert,0.723404,300,12
insert,0.734043,300,12
insert,0.744681,200,12
insert,0.755319,300,12
insert,0.765957,300,12
insert,0.776596,300,12
insert,0.787234,300,12
insert,0.797872,300,12
insert,0.808511,200,12
insert,0.819149,300,12
insert,0.829787,200,12
insert,0.840426,200,12
insert,0.851064,300,12
insert,0.861702,300,12
insert,0.87234,300,12
insert,0.882979,300,12
insert,0.893617,300,12
insert,0.904255,200,12
insert,0.914894,300,12
insert,0.925532,300,12
insert,0.93617,300,12
insert,0.946809,200,12
insert,0.957447,300,12
insert,0.968085,300,12
insert,0.978723,200,12
insert,0.989362,300,12
insert,1,2000,13
insert,0.673759,300,13
insert,0.680851,300,13
insert,0.687943,200,13
insert,0.695035,300,13
insert,0.702128,300,13
insert,0.70922,200,13
insert,0.716312,300,13
insert,0.723404,300,13
insert,0.730496,300,13
insert,0.737589,200,13
insert,0.744681,300,13
insert,0.751773,200,13
insert,0.758865,200,13
insert,0.765957,300,13
insert,0.77305,200,13
insert,0.780142,300,13
insert,0.787234,300,13
insert,0.794326,300,13
insert,0.801418,300,13
insert,0.808511,300,13
insert,0.815603,300,13
insert,0.822695,300,13
insert,0.829787,300,13
insert,0.836879,300,13
insert,0.843972,200,13
insert,0.851064,300,13
insert,0.858156,300,13
insert,0.865248,300,13
insert,0.87234,300,13
insert,0.879433,300,13
insert,0.886525,300,13
insert,0.893617,300,13
insert,0.900709,300,13
insert,0.907801,300,13
insert,0.914894,300,13
insert,0.921986,300,13
insert,0.929078,300,13
insert,0.93617,300,13
insert,0.943262,300,13
insert,0.950355,300,13
insert,0.957447,300,13
insert,0.964539,300,13
insert,0.971631,300,13
insert,0.978723,300,13
insert,0.985816,300,13
insert,0.992908,300,13
insert,1,1900,14
insert,0.672986,300,14
insert,0.677725,300,14
insert,0.682464,300,14
insert,0.687204,300,14
insert,0.691943,400,14
insert,0.696682,300,14
insert,0.701422,300,14
insert,0.706161,300,14
insert,0.7109,300,14
insert,0.71564,300,14
insert,0.720379,300,14
insert,0.725118,300,14
insert,0.729858,200,14
insert,0.734597,400,14
insert,0.739336,300,14
insert,0.744076,300,14
insert,0.748815,300,14
insert,0.753555,300,14
insert,0.758294,300,14
insert,0.763033,300,14
insert,0.767773,200,14
insert,0.772512,300,14
insert,0.777251,300,14
insert,0.781991,300,14
insert,0.78673,300,14
insert,0.791469,200,14
insert,0.796209,300,14
insert,0.800948,300,14
insert,0.805687,300,14
insert,0.810427,300,14
insert,0.815166,300,14
insert,0.819905,300,14
insert,0.824645,300,14
insert,0.829384,600,14
insert,0.834123,400,14
insert,0.838863,300,14
insert,0.843602,400,14
insert,0.848341,300,14
insert,0.853081,300,14
insert,0.85782,300,14
insert,0.862559,300,14
insert,0.867299,300,14
insert,0.872038,300,14
insert,0.876777,300,14
insert,0.881517,300,14
insert,0.886256,200,14
insert,0.890995,300,14
insert,0.895735,200,14
insert,0.900474,300,14
insert,0.905213,300,14
insert,0.909953,200,14
insert,0.914692,300,14
insert,0.919431,300,14
insert,0.924171,300,14
insert,0.92891,300,14
insert,0.933649,300,14
insert,0.938389,300,14
insert,0.943128,200,14
insert,0.947867,300,14
insert,0.952607,300,14
insert,0.957346,300,14
insert,0.962085,200,14
insert,0.966825,300,14
insert,0.971564,300,14
insert,0.976303,300,14
insert,0.981043,200,14
insert,0.985782,300,14
insert,0.990521,300,14
insert,0.995261,200,14
insert,1,6900,15
insert,0.670886,400,15
insert,0.674051,300,15
insert,0.677215,300,15
insert,0.68038,300,15
insert,0.683544,300,15
insert,0.686709,300,15
insert,0.689873,300,15
insert,0.693038,300,15
insert,0.696203,300,15
insert,0.699367,300,15
insert,0.702532,300,15
insert,0.705696,300,15
insert,0.708861,300,15
insert,0.712025,300,15
insert,0.71519,300,15
insert,0.718354,300,15
insert,0.721519,300,15
insert,0.724684,300,15
insert,0.727848,300,15
insert,0.731013,300,15
insert,0.734177,200,15
insert,0.737342,300,15
insert,0.740506,300,15
insert,0.743671,200,15
insert,0.746835,300,15
insert,0.75,300,15
insert,0.753165,300,15
insert,0.756329,300,15
insert,0.759494,300,15
insert,0.762658,300,15
insert,0.765823,200,15
insert,0.768987,300,15
insert,0.772152,300,15
insert,0.775316,200,15
insert,0.778481,300,15
insert,0.781646,300,15
insert,0.78481,300,15
insert,0.787975,200,15
insert,0.791139,300,15
insert,0.794304,200,15
insert,0.797468,300,15
insert,0.800633,300,15
insert,0.803797,300,15
insert,0.806962,300,15
insert,0.810127,200,15
insert,0.813291,300,15
insert,0.816456,300,15
insert,0.81962,300,15
insert,0.822785,300,15
insert,0.825949,300,15
insert,0.829114,300,15
insert,0.832278,300,15
insert,0.835443,300,15
insert,0.838608,300,15
insert,0.841772,200,15
insert,0.844937,300,15
insert,0.848101,300,15
insert,0.851266,300,15
insert,0.85443,200,15
insert,0.857595,300,15
insert,0.860759,300,15
insert,0.863924,300,15
insert,0.867089,300,15
insert,0.870253,200,15
insert,0.873418,200,15
insert,0.876582,200,15
insert,0.879747,300,15
insert,0.882911,300,15
insert,0.886076,300,15
insert,0.889241,400,15
