operation,load_factor,time,resize_count
insert,0,5400,0
insert,9.99101e-05,3600,0
insert,0.00019982,3200,0
insert,0.00029973,3200,0
insert,0.00039964,3400,0
insert,0.00049955,3000,0
insert,0.00059946,3200,0
insert,0.000699371,3300,0
insert,0.000799281,3100,0
insert,0.000899191,4300,0
insert,0.000999101,3200,0
insert,0.00109901,6900,0
insert,0.00119892,4200,0
insert,0.00129883,3200,0
insert,0.00139874,3100,0
insert,0.00149865,2900,0
insert,0.00159856,3000,0
insert,0.00169847,2800,0
insert,0.00179838,3300,0
insert,0.00189829,3000,0
insert,0.0019982,2800,0
insert,0.00209811,3000,0
insert,0.00219802,6500,0
insert,0.00229793,3500,0
insert,0.00239784,3300,0
insert,0.00249775,2300,0
insert,0.00259766,2300,0
insert,0.00269757,2300,0
insert,0.00279748,2200,0
insert,0.00289739,2400,0
insert,0.0029973,2300,0
insert,0.00309721,2300,0
insert,0.00319712,2300,0
insert,0.00329703,2300,0
insert,0.00339694,2500,0
insert,0.00349685,2300,0
insert,0.00359676,2400,0
insert,0.00369667,2700,0
insert,0.00379658,2400,0
insert,0.00389649,2400,0
insert,0.0039964,2300,0
insert,0.00409631,2400,0
insert,0.00419622,2300,0
insert,0.00429613,2300,0
insert,0.00439604,2300,0
insert,0.00449595,2300,0
insert,0.00459586,2200,0
insert,0.00469577,2400,0
insert,0.00479568,2300,0
insert,0.00489559,2500,0
insert,0.0049955,5000,0
insert,0.00509541,3400,0
insert,0.00519532,2500,0
insert,0.00529523,2500,0
insert,0.00539514,3400,0
insert,0.00549505,2600,0
insert,0.00559496,3600,0
insert,0.00569487,2600,0
insert,0.00579478,2300,0
insert,0.00589469,2200,0
insert,0.0059946,2300,0
insert,0.00609451,2300,0
insert,0.00619443,2200,0
insert,0.00629434,2400,0
insert,0.00639425,2400,0
insert,0.00649416,2300,0
insert,0.00659407,2300,0
insert,0.00669398,2300,0
insert,0.00679389,2600,0
insert,0.0068938,2100,0
insert,0.00699371,2300,0
insert,0.00709362,2200,0
insert,0.00719353,2300,0
insert,0.00729344,2300,0
insert,0.00739335,2200,0
insert,0.00749326,2300,0
insert,0.00759317,2200,0
insert,0.00769308,2300,0
insert,0.00779299,2300,0
insert,0.0078929,2300,0
insert,0.00799281,2300,0
insert,0.00809272,2300,0
insert,0.00819263,2200,0
insert,0.00829254,2300,0
insert,0.00839245,2200,0
insert,0.00849236,2300,0
insert,0.00859227,2300,0
insert,0.00869218,2200,0
insert,0.00879209,2300,0
insert,0.008892,2400,0
insert,0.00899191,2300,0
insert,0.00909182,2300,0
insert,0.00919173,2400,0
insert,0.00929164,2500,0
insert,0.00939155,2700,0
insert,0.00949146,2400,0
insert,0.00959137,2400,0
insert,0.00969128,2500,0
insert,0.00979119,2400,0
insert,0.0098911,2400,0
insert,0.00999101,2300,0
insert,0.0100909,2300,0
insert,0.0101908,2300,0
insert,0.0102907,2200,0
insert,0.0103906,2300,0
insert,0.0104906,2200,0
insert,0.0105905,2200,0
insert,0.0106904,2300,0
insert,0.0107903,2300,0
insert,0.0108902,2200,0
insert,0.0109901,2300,0
insert,0.01109,2400,0
insert,0.0111899,2300,0
insert,0.0112898,2500,0
insert,0.0113897,2300,0
insert,0.0114897,2300,0
insert,0.0115896,2500,0
insert,0.0116895,2700,0
