operation,load_factor,time,resize_count
insert,0,6900,0
insert,3.33034e-05,600,0
insert,6.66067e-05,600,0
insert,9.99101e-05,600,0
insert,0.000133213,400,0
insert,0.000166517,500,0
insert,0.00019982,500,0
insert,0.000233124,600,0
insert,0.000266427,500,0
insert,0.00029973,500,0
insert,0.000333034,500,0
insert,0.000366337,500,0
insert,0.00039964,500,0
insert,0.000432944,500,0
insert,0.000466247,400,0
insert,0.00049955,500,0
insert,0.000532854,500,0
insert,0.000566157,500,0
insert,0.00059946,500,0
insert,0.000632764,500,0
insert,0.000666067,500,0
insert,0.000699371,500,0
insert,0.000732674,19900,0
insert,0.000765977,1300,0
insert,0.000799281,1200,0
insert,0.000832584,1200,0
insert,0.000865887,1000,0
insert,0.000899191,1100,0
insert,0.000932494,1000,0
insert,0.000965797,1200,0
insert,0.000999101,1200,0
insert,0.0010324,1200,0
insert,0.00106571,1200,0
insert,0.00109901,1000,0
insert,0.00113231,1200,0
insert,0.00116562,1100,0
insert,0.00119892,1100,0
insert,0.00123222,1200,0
insert,0.00126553,1100,0
insert,0.00129883,1100,0
insert,0.00133213,1100,0
insert,0.00136544,1000,0
insert,0.00139874,1100,0
insert,0.00143204,1100,0
insert,0.00146535,1100,0
insert,0.00149865,1200,0
insert,0.00153195,1100,0
insert,0.00156526,1100,0
insert,0.00159856,1300,0
insert,0.00163186,1200,0
insert,0.00166517,1100,0
insert,0.00169847,1100,0
insert,0.00173177,1200,0
insert,0.00176508,1300,0
insert,0.00179838,1200,0
insert,0.00183168,1100,0
insert,0.00186499,1000,0
insert,0.00189829,1100,0
insert,0.00193159,1000,0
insert,0.0019649,1000,0
insert,0.0019982,1100,0
insert,0.0020315,1000,0
insert,0.00206481,1000,0
insert,0.00209811,1100,0
insert,0.00213142,1000,0
insert,0.00216472,1000,0
insert,0.00219802,1000,0
insert,0.00223133,1200,0
insert,0.00226463,1000,0
insert,0.00229793,1000,0
insert,0.00233124,1000,0
insert,0.00236454,1200,0
insert,0.00239784,1100,0
insert,0.00243115,1100,0
insert,0.00246445,1300,0
insert,0.00249775,1100,0
insert,0.00253106,1000,0
insert,0.00256436,1000,0
insert,0.00259766,1000,0
insert,0.00263097,1000,0
insert,0.00266427,1100,0
insert,0.00269757,2500,0
insert,0.00273088,2300,0
insert,0.00276418,1300,0
insert,0.00279748,1200,0
insert,0.00283079,1200,0
insert,0.00286409,1100,0
insert,0.00289739,1200,0
insert,0.0029307,1100,0
insert,0.002964,1200,0
insert,0.0029973,1200,0
insert,0.00303061,1300,0
insert,0.00306391,1200,0
insert,0.00309721,1100,0
insert,0.00313052,1200,0
insert,0.00316382,1100,0
insert,0.00319712,1200,0
insert,0.00323043,1200,0
insert,0.00326373,1200,0
insert,0.00329703,1100,0
insert,0.00333034,1200,0
insert,0.00336364,1100,0
insert,0.00339694,1100,0
insert,0.00343025,1200,0
insert,0.00346355,1200,0
insert,0.00349685,1200,0
insert,0.00353016,1200,0
insert,0.00356346,1100,0
insert,0.00359676,1300,0
insert,0.00363007,1100,0
insert,0.00366337,1200,0
insert,0.00369667,1200,0
insert,0.00372998,1200,0
insert,0.00376328,900,0
insert,0.00379658,900,0
insert,0.00382989,900,0
insert,0.00386319,900,0
insert,0.00389649,900,0
insert,0.0039298,1000,0
insert,0.0039631,900,0
insert,0.0039964,900,0
insert,0.00402971,900,0
insert,0.00406301,900,0
insert,0.00409631,900,0
insert,0.00412962,900,0
insert,0.00416292,800,0
insert,0.00419622,800,0
insert,0.00422953,900,0
insert,0.00426283,900,0
insert,0.00429613,900,0
insert,0.00432944,900,0
insert,0.00436274,800,0
insert,0.00439604,900,0
insert,0.00442935,800,0
insert,0.00446265,1000,0
insert,0.00449595,900,0
insert,0.00452926,900,0
insert,0.00456256,900,0
insert,0.00459586,900,0
insert,0.00462917,800,0
insert,0.00466247,900,0
insert,0.00469577,900,0
insert,0.00472908,900,0
insert,0.00476238,900,0
insert,0.00479568,900,0
insert,0.00482899,900,0
insert,0.00486229,800,0
insert,0.00489559,800,0
insert,0.0049289,900,0
insert,0.0049622,900,0
insert,0.0049955,900,0
insert,0.00502881,1100,0
insert,0.00506211,1100,0
insert,0.00509541,900,0
insert,0.00512872,800,0
insert,0.00516202,800,0
insert,0.00519532,900,0
insert,0.00522863,800,0
insert,0.00526193,800,0
insert,0.00529523,1300,0
insert,0.00532854,900,0
insert,0.00536184,900,0
insert,0.00539514,1000,0
insert,0.00542845,900,0
insert,0.00546175,900,0
insert,0.00549505,1000,0
insert,0.00552836,1000,0
insert,0.00556166,800,0
insert,0.00559496,1200,0
insert,0.00562827,900,0
insert,0.00566157,900,0
insert,0.00569487,900,0
insert,0.00572818,900,0
insert,0.00576148,900,0
insert,0.00579478,900,0
insert,0.00582809,900,0
insert,0.00586139,900,0
insert,0.00589469,800,0
insert,0.005928,900,0
insert,0.0059613,900,0
insert,0.0059946,1000,0
insert,0.00602791,900,0
insert,0.00606121,900,0
insert,0.00609451,1300,0
insert,0.00612782,900,0
insert,0.00616112,900,0
insert,0.00619443,900,0
insert,0.00622773,800,0
insert,0.00626103,900,0
insert,0.00629434,900,0
insert,0.00632764,900,0
insert,0.00636094,900,0
insert,0.00639425,900,0
insert,0.00642755,900,0
insert,0.00646085,900,0
insert,0.00649416,900,0
insert,0.00652746,900,0
insert,0.00656076,900,0
insert,0.00659407,900,0
insert,0.00662737,800,0
insert,0.00666067,900,0
insert,0.00669398,1000,0
insert,0.00672728,1000,0
insert,0.00676058,900,0
insert,0.00679389,900,0
insert,0.00682719,900,0
insert,0.00686049,800,0
insert,0.0068938,900,0
insert,0.0069271,1000,0
insert,0.0069604,900,0
insert,0.00699371,900,0
insert,0.00702701,900,0
insert,0.00706031,900,0
insert,0.00709362,900,0
insert,0.00712692,800,0
insert,0.00716022,900,0
insert,0.00719353,900,0
insert,0.00722683,900,0
insert,0.00726013,900,0
insert,0.00729344,900,0
insert,0.00732674,1100,0
insert,0.00736004,900,0
insert,0.00739335,900,0
insert,0.00742665,900,0
insert,0.00745995,900,0
insert,0.00749326,800,0
insert,0.00752656,900,0
insert,0.00755986,1000,0
insert,0.00759317,900,0
insert,0.00762647,900,0
insert,0.00765977,900,0
insert,0.00769308,900,0
insert,0.00772638,1000,0
insert,0.00775968,1200,0
insert,0.00779299,900,0
insert,0.00782629,900,0
insert,0.00785959,1000,0
insert,0.0078929,1000,0
insert,0.0079262,700,0
insert,0.0079595,700,0
insert,0.00799281,700,0
insert,0.00802611,900,0
insert,0.00805941,600,0
insert,0.00809272,800,0
insert,0.00812602,700,0
insert,0.00815932,600,0
insert,0.00819263,700,0
insert,0.00822593,700,0
insert,0.00825923,700,0
insert,0.00829254,700,0
insert,0.00832584,600,0
insert,0.00835914,600,0
insert,0.00839245,800,0
insert,0.00842575,700,0
insert,0.00845905,700,0
insert,0.00849236,700,0
insert,0.00852566,700,0
insert,0.00855896,700,0
insert,0.00859227,700,0
insert,0.00862557,700,0
insert,0.00865887,700,0
insert,0.00869218,700,0
insert,0.00872548,800,0
insert,0.00875878,800,0
insert,0.00879209,700,0
insert,0.00882539,700,0
insert,0.00885869,700,0
insert,0.008892,600,0
insert,0.0089253,800,0
insert,0.0089586,700,0
insert,0.00899191,700,0
insert,0.00902521,700,0
insert,0.00905851,700,0
insert,0.00909182,800,0
insert,0.00912512,700,0
insert,0.00915842,800,0
insert,0.00919173,700,0
insert,0.00922503,800,0
insert,0.00925833,700,0
insert,0.00929164,700,0
insert,0.00932494,700,0
insert,0.00935824,700,0
insert,0.00939155,700,0
insert,0.00942485,700,0
insert,0.00945815,700,0
insert,0.00949146,700,0
insert,0.00952476,700,0
insert,0.00955806,700,0
insert,0.00959137,700,0
insert,0.00962467,800,0
insert,0.00965797,700,0
insert,0.00969128,700,0
insert,0.00972458,700,0
insert,0.00975788,800,0
insert,0.00979119,700,0
insert,0.00982449,800,0
insert,0.00985779,700,0
insert,0.0098911,800,0
insert,0.0099244,1000,0
insert,0.0099577,700,0
insert,0.00999101,700,0
insert,0.0100243,800,0
insert,0.0100576,700,0
insert,0.0100909,700,0
insert,0.0101242,700,0
insert,0.0101575,800,0
insert,0.0101908,700,0
insert,0.0102241,900,0
insert,0.0102574,700,0
insert,0.0102907,700,0
insert,0.010324,600,0
insert,0.0103573,600,0
insert,0.0103906,800,0
insert,0.010424,800,0
insert,0.0104573,700,0
insert,0.0104906,700,0
